Site,Bottle,Date,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL
FM,1,6/12/2017,CMP 1,2.05,8.33,66.7,0.593,0.395,0.328,2.9,2.74,1.76,0.04,0.95,13.1,57.8,9.9
FM,2,6/12/2017,CMP 2,2.21,8.27,63.5,0.602,0.395,0.344,2.61,2.55,1.63,0.04,0.89,13.8,52.4,8.8
FM,3,6/12/2017,CMP 3,2.52,8.25,70.1,0.593,0.365,0.328,2.51,2.34,1.6,0.04,0.7,14.5,60.4,9
FM,4,6/12/2017,CMP 4,2.71,8.22,73.5,0.62,0.346,0.314,2.31,2.24,1.63,0.04,0.57,14.9,57.8,8.3
FM,5,6/12/2017,CMP 5,2.78,8.35,75.4,0.593,0.358,0.31,2.46,2.36,1.78,0.04,0.55,15.5,54.3,8.3
FM,6,6/12/2017,CMP 6,2.48,8.18,144,0.804,0.358,0.31,2.6,2.36,1.62,0.03,0.71,14.2,121.7,16.2
FM,7,6/12/2017,CMP 7,2,8.34,81.5,0.758,0.475,0.431,2.72,2.52,1.17,0.05,1.3,13.3,84.4,11.1
FM,8,6/12/2017,CMP 8,1.9,8.19,67.9,0.565,0.297,0.262,2.64,2.12,1.35,0.04,0.73,12.4,62.5,8.2
FM,9,6/12/2017,CMP 9,1.41,7.99,113,0.427,0.125,0.098,1.98,1.76,1.48,0.03,0.25,10.3,100.2,13.7
FM,10,6/12/2017,CMP 10,1.26,7.89,81.4,0.335,0.094,0.074,1.6,1.54,1.29,0.04,0.21,10,69.7,10.3
FM,11,6/12/2017,CMP 11,1.42,8.01,77.6,0.353,0.119,0.096,1.72,1.68,1.39,0.03,0.26,10.3,65.9,10.2
FM,12,6/12/2017,CMP 12,1.39,8.04,60.1,0.298,0.125,0.103,1.77,1.65,1.36,0.04,0.25,10.5,43.6,7.7
FM,13,6/12/2017,CMP 13,1.64,8.11,60.9,0.381,0.174,0.162,2.34,1.85,1.42,0.03,0.39,11.1,48.1,7.9
FM,14,6/12/2017,CMP 14,1.9,8.23,57.1,0.538,0.309,0.268,2.77,2.57,1.8,0.04,0.73,12.6,50.7,7.8
FM,15,6/12/2017,CMP 15,2,8.45,53.5,0.593,0.401,0.349,2.9,2.52,1.46,0.05,1.01,13,48.6,7.9
FM,16,6/12/2017,CMP 16,2,8.29,57.4,0.584,0.395,0.358,2.87,2.37,1.31,0.06,1.01,12.8,46.7,6.6
FM,17,6/12/2017,CMP 17,1.78,8.32,55.4,0.464,0.279,0.242,2.48,2.07,1.38,0.04,0.65,11.9,43.8,7.2
FM,18,6/12/2017,CMP 18,1.66,8.07,58.6,0.399,0.223,0.196,2.21,1.96,1.39,0.05,0.52,11.3,43.1,6.8
FM,19,6/12/2017,CMP 19,1.44,8.06,61.2,0.363,0.18,0.145,2.18,2.07,1.57,0.06,0.44,11.2,46.3,7.3
FM,20,6/12/2017,CMP 20,1.31,7.99,53.5,0.289,0.131,0.108,2.1,1.95,1.57,0.04,0.34,9.8,45.4,6
FM,21,6/12/2017,CMP 21,1.33,8,52.6,0.353,0.15,0.125,1.95,1.72,1.31,0.04,0.37,9.9,41.1,7
FM,22,6/12/2017,CMP 22,1.4,7.99,62.6,0.372,0.168,0.143,1.79,1.72,1.31,0.05,0.36,10.6,45.7,7.3
FM,23,6/12/2017,CMP 23,1.47,8.18,70,0.399,0.18,0.15,2.04,1.97,1.48,0.06,0.43,10.6,56.2,9.2
FM,24,6/12/2017,CMP 24,1.61,8.08,71.6,0.446,0.223,0.192,2.05,1.99,1.42,0.06,0.51,11.4,67.4,11
SD,1,6/12/2017,CMP 25,2.56,7.73,84.1,0.68,0.242,0.131,3.02,2.8,2.26,0.01,0.53,35.1,94,20.2
SD,2,6/12/2017,CMP 26,2.59,8.05,121,1.034,0.266,0.195,3.88,3.02,2.15,0.04,0.83,27.1,118.2,22.5
SD,3,6/12/2017,CMP 27,2.58,7.76,126.1,0.961,0.186,0.112,3.56,2.63,2.17,0.02,0.44,32,120.9,25.2
SD,4,6/12/2017,CMP 28,2.58,7.56,109.7,0.933,0.168,0.095,3.59,2.48,2.12,0.02,0.35,34.9,102.7,23.2
SD,5,6/12/2017,CMP 29,1.91,7.98,105.5,0.768,0.407,0.314,3.11,2.9,1.57,0.02,1.31,27,93.7,18.1
SD,6,6/12/2017,CMP 30,1.82,7.87,88.8,0.703,0.438,0.37,2.93,2.64,1.43,0.02,1.2,14.2,74,11.5
SD,7,6/12/2017,CMP 31,1.68,8.29,70.1,0.602,0.444,0.319,2.59,2.41,1.37,0.03,1.02,12.7,61.9,10.5
SD,8,6/12/2017,CMP 32,1.66,8,104,0.639,0.34,0.304,2.49,2.37,1.37,0.05,0.96,13.8,94.4,14.4
SD,9,6/12/2017,CMP 33,1.67,8.27,118,0.793,0.371,0.316,2.78,2.35,1.33,0.02,1,12.8,102.3,15.4
SD,10,6/12/2017,CMP 34,1.76,7.89,99.3,0.685,0.371,0.314,2.92,2.72,1.65,0.01,1.07,14.9,83.9,13.6
SD,11,6/12/2017,CMP 35,1.81,7.65,79.3,0.713,0.383,0.34,3.03,2.58,1.46,0.02,1.11,17.9,72.5,13.5
SD,12,6/12/2017,CMP 36,1.92,7.6,76.9,0.749,0.42,0.356,3.18,2.96,1.75,0.01,1.2,20.3,76.2,13.4
SD,13,6/12/2017,CMP 37,1.95,7.98,73.3,0.758,0.401,0.362,3.1,2.69,1.46,0.04,1.18,17.5,65.3,11.3
