Bottle,Date,Site,ID,DOC_ppm,DOC_rep2,TN_ppm,TN_rep2,NO3_ppm,NO3_rep2,NH4_ppm,NH4_rep2,TP_ppm,TP_rep2,PO4_PPM,PO4_rep2
1,4/18/2018,FM,CMP 1,15.3,,2.53,,1.47,,0.00,,0.582,,0.137,
2,4/18/2018,FM,CMP 2,13.0,,2.47,,1.52,,0.06,0.04,0.621,,0.257,
3,4/18/2018,FM,CMP 3,12.9,,2.63,,1.45,1.42,0.03,,0.699,,0.273,
7,4/18/2018,FM,CMP 4,14.1,,2.93,,1.88,,0.06,,0.959,,0.323,
8,4/18/2018,FM,CMP 5,13.0,,2.56,,1.59,,0.05,,0.931,,0.279,
9,4/18/2018,FM,CMP 6,10.5,,1.82,1.83,0.94,0.92,0.04,,0.969,,0.153,
10,4/18/2018,FM,CMP 7,7.5,,1.24,,0.40,0.41,0.04,,0.728,,0.068,
11,4/18/2018,FM,CMP 8,8.3,,1.34,,0.50,0.50,0.03,,0.485,0.504,0.074,
12,4/18/2018,FM,CMP 9,10.3,,1.39,,0.70,0.69,0.05,,0.377,,0.123,
13,4/18/2018,FM,CMP 10,10.8,10.8,2.14,,1.07,,0.01,,0.543,,0.171,
14,4/18/2018,FM,CMP 11,12.9,,2.60,,1.51,,0.04,0.03,0.602,,0.245,0.243
15,4/18/2018,FM,CMP 12,13.0,,2.75,,1.74,1.72,0.05,,0.611,,0.294,
16,4/18/2018,FM,CMP 13,13.0,,2.74,,1.78,,0.05,,0.660,,0.302,
17,4/18/2018,FM,CMP 14,12.7,,2.85,,1.64,,0.06,,0.718,,0.281,
18,4/18/2018,FM,CMP 15,11.7,,2.33,2.33,1.40,,0.06,,0.553,,0.234,
19,4/18/2018,FM,CMP 16,12.5,,2.52,,1.60,,0.06,,0.582,,0.263,
20,4/18/2018,FM,CMP 17,8.7,,1.39,,0.59,,0.00,,0.504,0.514,0.085,
21,4/18/2018,FM,CMP 18,8.0,,1.17,,0.59,,0.00,,0.436,,0.069,
22,4/18/2018,FM,CMP 19,9.2,,1.67,,0.44,,0.07,,0.407,,0.131,
23,4/18/2018,FM,CMP 20,10.5,10.6,1.89,,0.83,,0.08,0.07,0.416,,0.154,0.156
24,4/18/2018,FM,CMP 21,8.6,,1.40,,0.59,,0.01,,0.387,,0.091,
1,4/18/2018,PT,CMP 22,12.4,,2.90,,0.59,0.58,0.03,,0.786,,0.434,
2,4/18/2018,PT,CMP 23,11.4,,2.77,,1.84,,0.06,,0.708,,0.446,
3,4/18/2018,PT,CMP 24,10.9,,2.92,2.91,1.83,1.76,0.05,,0.737,,0.458,
4,4/18/2018,PT,CMP 25,11.0,,2.73,,1.80,,0.05,,0.747,,0.456,
5,4/18/2018,PT,CMP 26,11.0,,2.75,,1.79,,0.07,,0.757,0.757,0.458,
6,4/18/2018,PT,CMP 27,12.7,,3.06,,1.72,,0.04,,0.853,,0.383,
7,4/18/2018,PT,CMP 28,13.0,,3.53,,2.31,,0.07,,0.853,,0.443,
8,4/18/2018,PT,CMP 29,13.0,,3.54,,2.35,,0.07,0.07,0.805,,0.427,0.415
9,4/18/2018,PT,CMP 30,12.9,12.9,3.45,,2.15,,0.07,,0.786,,0.385,
10,4/18/2018,PT,CMP 31,12.8,,3.18,3.33,2.10,,0.07,,0.815,0.815,0.364,
11,4/18/2018,PT,CMP 32,12.9,,3.48,,2.27,,0.04,,0.776,,0.411,
12,4/18/2018,PT,CMP 33,13.1,,3.68,3.62,2.37,2.41,0.06,,0.737,,0.455,
13,4/18/2018,PT,CMP 34,13.1,,2.99,,2.02,,0.05,,0.699,,0.409,
14,4/18/2018,PT,CMP 35,12.6,,2.73,2.73,1.73,,0.05,,0.670,0.660,0.389,
15,4/18/2018,PT,CMP 36,12.6,,2.72,,1.75,,0.03,,0.670,,0.394,
16,4/18/2018,PT,CMP 37,12.5,,3.05,,1.83,,0.05,,0.679,,0.397,
17,4/18/2018,PT,CMP 38,13.1,,3.17,,2.21,,0.07,0.06,0.737,,0.418,0.415
18,4/18/2018,PT,CMP 39,12.8,,3.44,,2.27,,0.07,,0.795,,0.411,
19,4/18/2018,PT,CMP 40,10.9,,3.08,,2.10,,0.07,,0.795,,0.362,
20,4/18/2018,PT,CMP 41,10.7,,3.00,,2.01,,0.06,,0.699,,0.323,
21,4/18/2018,PT,CMP 42,10.9,,3.26,,1.90,1.87,0.08,,0.679,,0.314,
22,4/18/2018,PT,CMP 43,7.3,7.3,2.83,,1.94,,0.05,,0.611,,0.297,
23,4/18/2018,PT,CMP 44,11.0,,3.08,3.10,2.08,,0.06,,0.776,0.776,0.364,
24,4/18/2018,PT,CMP 45,11.1,,3.16,,2.17,,0.05,,0.882,,0.401,
1,4/18/2018,SD,CMP 46,11.4,,2.75,,1.62,,0.02,,0.805,,0.230,
2,4/18/2018,SD,CMP 47,10.9,,2.70,,1.72,,0.08,0.08,0.757,,0.240,0.237
