Bottle,datetime,Site,ID,EC_uScm,pH,Turbidity_ntu,filter_mL,filter_g,60C_g,510C_g,Notes,Entered By,QA/QC,DOC_ppm,DOC_rep2,TN_ppm,TN_rep2,NO3_ppm,NO3_rep2,NH4_ppm,NH4_rep2,TP_ppm,TP_rep2,PO4_PPM,PO4_rep2,datetime_DLS,Yr
1,2018-04-18T15:00:00Z,FM,CMP 1,2.907,7.82,77.1,305,0.1278,0.1542,NA,NA,CN,CN,15.3,NA,2.53,NA,1.47,NA,0,NA,0.582,NA,0.137,NA,2018-04-18T15:00:00Z,2018
2,2018-04-18T16:00:00Z,FM,CMP 2,2.801,7.93,82.6,308,0.1284,0.1556,NA,NA,CN,CN,13,NA,2.47,NA,1.52,NA,0.06,0.04,0.621,NA,0.257,NA,2018-04-18T16:00:00Z,2018
3,2018-04-18T17:00:00Z,FM,CMP 3,2.983,7.93,120,265,0.1281,0.153,NA,NA,CN,CN,12.9,NA,2.63,NA,1.45,1.42,0.03,NA,0.699,NA,0.273,NA,2018-04-18T17:00:00Z,2018
7,2018-04-18T21:00:00Z,FM,CMP 4,2.765,8.05,143,286,0.1296,0.1734,NA,NA,CN,CN,14.1,NA,2.93,NA,1.88,NA,0.06,NA,0.959,NA,0.323,NA,2018-04-18T21:00:00Z,2018
8,2018-04-18T22:00:00Z,FM,CMP 5,2.926,7.88,171,209,0.1278,0.1691,NA,NA,CN,CN,13,NA,2.56,NA,1.59,NA,0.05,NA,0.931,NA,0.279,NA,2018-04-18T22:00:00Z,2018
9,2018-04-18T23:00:00Z,FM,CMP 6,2.372,7.87,169,219,0.1286,0.1951,NA,NA,CN,CN,10.5,NA,1.82,1.83,0.94,0.92,0.04,NA,0.969,NA,0.153,NA,2018-04-18T23:00:00Z,2018
10,2018-04-19T00:00:00Z,FM,CMP 7,1.66,7.85,174,193,0.1273,0.1762,NA,NA,CN,CN,7.5,NA,1.24,NA,0.4,0.41,0.04,NA,0.728,NA,0.068,NA,2018-04-19T00:00:00Z,2018
11,2018-04-19T01:00:00Z,FM,CMP 8,1.711,7.81,124,210,0.1268,0.1577,NA,NA,CN,CN,8.3,NA,1.34,NA,0.5,0.5,0.03,NA,0.485,0.504,0.074,NA,2018-04-19T01:00:00Z,2018
12,2018-04-19T02:00:00Z,FM,CMP 9,2.104,7.91,118,268,0.1257,0.1607,NA,NA,CN,CN,10.3,NA,1.39,NA,0.7,0.69,0.05,NA,0.377,NA,0.123,NA,2018-04-19T02:00:00Z,2018
13,2018-04-19T03:00:00Z,FM,CMP 10,2.544,7.85,103,250,0.1272,0.1553,NA,NA,CN,CN,10.8,10.8,2.14,NA,1.07,NA,0.01,NA,0.543,NA,0.171,NA,2018-04-19T03:00:00Z,2018
14,2018-04-19T04:00:00Z,FM,CMP 11,2.816,7.91,91,600,0.1269,0.1607,0.15,NA,CN,CN,12.9,NA,2.6,NA,1.51,NA,0.04,0.03,0.602,NA,0.245,0.243,2018-04-19T04:00:00Z,2018
15,2018-04-19T05:00:00Z,FM,CMP 12,2.82,7.99,75,505,0.1282,0.1558,0.15,NA,CN,CN,13,NA,2.75,NA,1.74,1.72,0.05,NA,0.611,NA,0.294,NA,2018-04-19T05:00:00Z,2018
16,2018-04-19T06:00:00Z,FM,CMP 13,2.905,7.94,81,515,0.1283,0.1679,0.1593,NA,CN,CN,13,NA,2.74,NA,1.78,NA,0.05,NA,0.66,NA,0.302,NA,2018-04-19T06:00:00Z,2018
17,2018-04-18T07:00:00Z,FM,CMP 14,2.941,7.92,90,530,0.1261,0.1689,0.1661,NA,CN,CN,12.7,NA,2.85,NA,1.64,NA,0.06,NA,0.718,NA,0.281,NA,2018-04-18T07:00:00Z,2018
