Site,Bottle,datetime,Deployment,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL,ID2,datetime_DLS
PT,1,2017-06-15T00:15:00Z,1,CMP 80,2.37,8.38,70.6,1.108,0.792,0.776,4.82,4.11,1.2,0.04,2.86,14.4,54.3,9.4,80,2017-06-15T00:15:00Z
PT,2,2017-06-15T01:15:00Z,1,CMP 81,2.16,8.27,69.8,1.13,0.865,0.777,4.43,4.08,0.87,0.05,3.16,13.5,69.2,10.3,81,2017-06-15T01:15:00Z
PT,3,2017-06-15T02:15:00Z,1,CMP 82,2.11,8.25,57.2,0.988,0.7,0.665,4.43,4.01,1.34,0.05,2.62,14.4,54,8.8,82,2017-06-15T02:15:00Z
PT,4,2017-06-15T03:15:00Z,1,CMP 83,2.12,8.28,56.9,0.896,0.675,0.629,4.08,3.75,1.28,0.06,2.42,13.8,39,6.6,83,2017-06-15T03:15:00Z
PT,5,2017-06-15T04:15:00Z,1,CMP 84,2.21,8.3,49.6,0.929,0.712,0.627,4.53,3.51,1.13,0.07,2.3,12.8,34.2,6.3,84,2017-06-15T04:15:00Z
PT,6,2017-06-15T05:15:00Z,1,CMP 85,2.27,8.35,47,1.053,0.82,0.726,4.34,3.89,0.92,0.1,2.87,10.8,41.6,7.4,85,2017-06-15T05:15:00Z
PT,7,2017-06-15T06:15:00Z,1,CMP 86,2.35,8.36,45,1.007,0.864,0.776,4.57,4.27,1.2,0.07,3,12.2,41.1,7.5,86,2017-06-15T06:15:00Z
PT,8,2017-06-14T07:15:00Z,1,CMP 87,2.23,8.38,37,0.971,0.82,0.738,4.18,3.41,0.77,0.06,2.59,11.2,30.8,5.8,87,2017-06-14T07:15:00Z
PT,9,2017-06-14T08:15:00Z,1,CMP 88,2.27,8.42,46.6,1.062,0.813,0.73,4.38,3.33,0.74,0.04,2.55,11.6,43.7,7.5,88,2017-06-14T08:15:00Z
PT,10,2017-06-14T09:15:00Z,1,CMP 89,2.4,8.36,38.3,1.007,0.839,0.76,4.59,3.52,0.65,0.03,2.84,11.1,29,6.2,89,2017-06-14T09:15:00Z
PT,11,2017-06-14T10:15:00Z,1,CMP 90,2.21,8.32,44.3,1.053,0.832,0.747,4.12,3.57,0.61,0.05,2.9,11,41.1,7.7,90,2017-06-14T10:15:00Z
PT,12,2017-06-14T11:15:00Z,1,CMP 91,2.31,8.36,46.4,1.008,0.807,0.734,4.39,3.37,0.66,0.05,2.67,10.6,42.8,8,91,2017-06-14T11:15:00Z
PT,13,2017-06-14T12:15:00Z,1,CMP 92,2.25,8.26,42.4,0.929,0.762,0.687,4.02,3.33,0.74,0.07,2.53,11.1,34.3,7.3,92,2017-06-14T12:15:00Z
PT,14,2017-06-14T13:15:00Z,1,CMP 93,2.12,8.31,42.1,0.942,0.743,0.659,3.75,3.06,0.64,0.06,2.37,11.2,31.7,6.3,93,2017-06-14T13:15:00Z
PT,15,2017-06-14T14:15:00Z,1,CMP 94,2.11,8.33,43.1,0.887,0.731,0.654,3.88,3.1,0.69,0.04,2.36,10.8,29.4,6,94,2017-06-14T14:15:00Z
PT,16,2017-06-14T15:15:00Z,1,CMP 95,2.29,8.32,46.3,0.934,0.769,0.692,3.76,3.26,0.65,0.06,2.55,11.4,42.3,7.8,95,2017-06-14T15:15:00Z
PT,17,2017-06-14T16:15:00Z,1,CMP 96,2.38,8.26,47,1.009,0.813,0.749,4.57,3.43,0.76,0.05,2.62,11.3,46.1,8.5,96,2017-06-14T16:15:00Z
PT,18,2017-06-14T17:15:00Z,1,CMP 97,2.35,8.19,54.4,0.952,0.75,0.67,3.52,2.91,0.7,0.05,2.16,12.2,51.7,9.4,97,2017-06-14T17:15:00Z
PT,19,2017-06-14T18:15:00Z,1,CMP 98,2.7,8.25,48,0.91,0.674,0.599,3.54,2.55,0.78,0.05,1.71,11.5,42,8,98,2017-06-14T18:15:00Z
PT,20,2017-06-14T19:15:00Z,1,CMP 99,2.77,8.17,51.1,0.782,0.579,0.492,2.46,2.29,0.82,0.05,1.43,13.6,47.8,9.1,99,2017-06-14T19:15:00Z
PT,21,2017-06-14T20:15:00Z,1,CMP 100,3.02,8.11,45.5,0.659,0.458,0.388,2.32,2.26,1.07,0.03,1.15,14.7,44.4,8.6,100,2017-06-14T20:15:00Z
PT,22,2017-06-14T21:15:00Z,1,CMP 101,3.22,8.26,48.3,0.649,0.426,0.355,2.74,2.38,1.21,0.06,1.11,16,43.1,8.6,101,2017-06-14T21:15:00Z
PT,23,2017-06-14T22:15:00Z,1,CMP 102,3.02,8.21,65.2,0.735,0.496,0.426,2.74,2.21,0.92,0.04,1.25,14.6,55.3,10.5,102,2017-06-14T22:15:00Z
PT,24,2017-06-14T23:15:00Z,1,CMP 103,2.58,8.21,52.9,0.858,0.667,0.588,2.85,2.5,0.87,0.07,1.55,13.1,45.3,6.7,103,2017-06-14T23:15:00Z
PT,1,2017-06-22T20:15:00Z,2,CMP 104,2.18,8.36,88.8,1.153,0.788,0.692,3.54,3.45,0.92,0.05,2.49,14.8,82.8,13.9,104,2017-06-22T20:15:00Z
PT,2,2017-06-22T21:15:00Z,2,CMP 105,2.14,8.36,99,1.22,0.75,0.644,3.4,3.06,0.75,0.02,2.28,14.1,75.1,11.7,105,2017-06-22T21:15:00Z
PT,3,2017-06-22T22:15:00Z,2,CMP 106,2.07,8.24,79,1.001,0.674,0.574,3.06,2.94,0.84,0.02,2.08,14,70.9,11.1,106,2017-06-22T22:15:00Z
PT,4,2017-06-22T23:15:00Z,2,CMP 107,2.07,8.15,64.3,0.954,0.693,0.594,3.02,2.86,0.77,0.02,2.07,15,58.7,11.3,107,2017-06-22T23:15:00Z
PT,5,2017-06-23T00:15:00Z,2,CMP 108,2.15,8.46,78.4,1.125,0.801,0.688,3.39,3.22,0.78,0.02,2.42,14.2,56,9.3,108,2017-06-23T00:15:00Z
PT,6,2017-06-23T01:15:00Z,2,CMP 109,2.27,8.4,71.3,1.106,0.788,0.681,3.22,3.05,0.91,0.03,2.1,14.8,62,10.9,109,2017-06-23T01:15:00Z
PT,7,2017-06-23T02:15:00Z,2,CMP 110,2.38,8.54,57.6,1.049,0.775,0.668,3,2.82,0.93,0.02,1.87,15.6,59.6,10.8,110,2017-06-23T02:15:00Z
PT,8,2017-06-23T03:15:00Z,2,CMP 111,2.41,8.21,52.8,1.02,0.769,0.643,2.89,2.68,0.93,0.02,1.73,16.7,50.2,9.6,111,2017-06-23T03:15:00Z
PT,9,2017-06-23T04:15:00Z,2,CMP 112,2.34,8.25,48.8,1.02,0.769,0.674,3.09,2.87,0.87,0.02,1.98,16,40,8.2,112,2017-06-23T04:15:00Z
PT,10,2017-06-23T05:15:00Z,2,CMP 113,2.22,8.22,58.4,1.03,0.788,0.671,3.16,3.09,0.83,0.03,2.23,15.1,49.9,8.2,113,2017-06-23T05:15:00Z
PT,11,2017-06-23T06:15:00Z,2,CMP 114,2.14,8.15,72.3,1.029,0.731,0.612,3.48,2.86,0.8,0.03,2.03,15.2,63.1,10.5,114,2017-06-23T06:15:00Z
PT,12,2017-06-22T07:15:00Z,2,CMP 115,2.07,8.16,67,0.916,0.655,0.555,2.88,2.73,0.8,0.02,1.91,14.8,59.2,11.4,115,2017-06-22T07:15:00Z
PT,13,2017-06-22T08:15:00Z,2,CMP 116,1.9,8.24,105,0.887,0.534,0.455,2.49,2.26,0.66,0.02,1.58,13.2,89.2,14.2,116,2017-06-22T08:15:00Z
PT,14,2017-06-22T09:15:00Z,2,CMP 117,1.81,8.13,73.6,0.792,0.464,0.377,2.26,1.94,0.62,0.01,1.31,12.9,69.8,12.4,117,2017-06-22T09:15:00Z
PT,15,2017-06-22T10:15:00Z,2,CMP 118,1.79,8.1,66.8,0.735,0.433,0.358,2.1,1.82,0.6,0.01,1.21,12.8,65.1,11.7,118,2017-06-22T10:15:00Z
PT,16,2017-06-22T11:15:00Z,2,CMP 119,1.81,8.09,104,0.897,0.464,0.39,2.09,1.98,0.65,0.02,1.3,12.8,99.6,16.2,119,2017-06-22T11:15:00Z
PT,17,2017-06-22T12:15:00Z,2,CMP 120,1.93,8.09,147,1.121,0.617,0.48,2.95,2.3,0.68,0.02,1.6,13.7,136.7,20,120,2017-06-22T12:15:00Z
PT,18,2017-06-22T13:15:00Z,2,CMP 121,2.1,8.18,187,1.419,0.667,0.565,2.78,2.62,0.79,0.02,1.81,14.8,158.2,23.3,121,2017-06-22T13:15:00Z
