Station_Code,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,pH,F_pH,Turb,F_Turb
sfbfmwq,P,6/8/2017 11:15,0,1,,19.7,<0> ,1.87,<0> ,1,<0> ,72.8,<0> ,6.6,<0> ,1.66,<0> ,1.62,<3> ,7.9,<1> [SPC] (CSM),108,<1> (CMD)
sfbfmwq,P,6/8/2017 11:30,0,1,,19.8,<0> ,1.82,<0> ,0.9,<0> ,76,<0> ,6.9,<0> ,1.77,<0> ,1.73,<3> ,7.9,<1> [SPC] (CSM),117,<1> (CMD)
sfbfmwq,P,6/8/2017 11:45,0,1,,19.4,<0> ,1.82,<0> ,0.9,<0> ,69.9,<0> ,6.4,<0> ,1.87,<0> ,1.83,<3> ,7.8,<1> [SPC] (CSM),119,<1> (CMD)
sfbfmwq,P,6/8/2017 12:00,0,1,,19.3,<0> ,1.79,<0> ,0.9,<0> ,65.3,<0> ,6,<0> ,1.97,<0> ,1.93,<3> ,7.6,<1> [SPC] (CSM),115,<1> (CMD)
sfbfmwq,P,6/8/2017 12:15,0,1,,19.5,<0> ,1.75,<0> ,0.9,<0> ,62.7,<0> ,5.7,<0> ,2.06,<0> ,2.02,<3> ,7.5,<1> [SPC] (CSM),124,<1> (CMD)
sfbfmwq,P,6/8/2017 12:30,0,1,,19.7,<0> ,1.6,<0> ,0.8,<0> ,61.8,<0> ,5.6,<0> ,2.14,<0> ,2.1,<3> ,7.5,<1> [SPC] (CSM),129,<1> (CMD)
sfbfmwq,P,6/8/2017 12:45,0,1,,19.6,<0> ,1.45,<0> ,0.7,<0> ,63.9,<0> ,5.8,<0> ,2.21,<0> ,2.17,<3> ,7.4,<1> [SPC] (CSM),140,<1> (CMD)
sfbfmwq,P,6/8/2017 13:00,0,1,,19.7,<0> ,1.32,<0> ,0.7,<0> ,62.8,<0> ,5.7,<0> ,2.27,<0> ,2.24,<3> ,7.4,<1> [SPC] (CSM),141,<1> (CMD)
sfbfmwq,P,6/8/2017 13:15,0,1,,19.8,<0> ,1.24,<0> ,0.6,<0> ,63.1,<0> ,5.7,<0> ,2.33,<0> ,2.3,<3> ,7.3,<1> [SPC] (CSM),136,<1> (CMD)
sfbfmwq,P,6/8/2017 13:30,0,1,,19.8,<0> ,1.2,<0> ,0.6,<0> ,60.2,<0> ,5.5,<0> ,2.38,<0> ,2.35,<3> ,7.3,<1> [SPC] (CSM),139,<1> (CMD)
