Station_Code,DateTimeStamp,Historical,ProvisionalPlus,Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb
sfbfmwq,4/13/2018 7:00,0,1,14.3,2.63,1.4,62.8,6.4,1.27,1.11,7.5,101
sfbfmwq,4/13/2018 7:15,0,1,14.2,2.63,1.4,56.5,5.8,1.27,1.11,7.4,74
sfbfmwq,4/13/2018 7:30,0,1,14.2,2.65,1.4,53.9,5.5,1.27,1.1,7.4,80
sfbfmwq,4/13/2018 7:45,0,1,14.3,2.61,1.4,58.4,5.9,1.28,1.11,7.4,82
sfbfmwq,4/13/2018 8:00,0,1,14.7,2.49,1.3,62.9,6.3,1.32,1.15,7.5,78
sfbfmwq,4/13/2018 8:15,0,1,14.7,2.46,1.3,64,6.4,1.37,1.2,7.5,83
sfbfmwq,4/13/2018 8:30,0,1,14.8,2.46,1.3,64.9,6.5,1.43,1.26,7.5,83
sfbfmwq,4/13/2018 8:45,0,1,15.7,2.35,1.2,64.7,6.4,1.5,1.33,7.5,76
sfbfmwq,4/13/2018 9:00,0,1,16.2,2.32,1.2,63.9,6.3,1.58,1.41,7.5,74
sfbfmwq,4/13/2018 9:15,0,1,16.4,2.33,1.2,64.1,6.2,1.66,1.49,7.5,71
sfbfmwq,4/13/2018 9:30,0,1,16.5,2.39,1.2,64.1,6.2,1.75,1.58,7.5,70
sfbfmwq,4/13/2018 9:45,0,1,16.4,2.42,1.3,64.4,6.3,1.84,1.67,7.5,72
sfbfmwq,4/13/2018 10:00,0,1,15.8,2.43,1.3,64.4,6.3,1.93,1.76,7.5,80
sfbfmwq,4/13/2018 10:15,0,1,15.8,2.41,1.3,66,6.5,2.02,1.85,7.5,79
sfbfmwq,4/13/2018 10:30,0,1,15.6,2.33,1.2,64.9,6.4,2.1,1.93,7.5,79
sfbfmwq,4/13/2018 10:45,0,1,15.6,2.26,1.2,70.5,7,2.17,2,7.5,104
sfbfmwq,4/13/2018 11:00,0,1,15.7,2.05,1.1,76.3,7.5,2.24,2.07,7.4,113
sfbfmwq,4/13/2018 11:15,0,1,15.9,1.77,0.9,79.5,7.8,2.3,2.13,7.4,114
sfbfmwq,4/13/2018 11:30,0,1,15.9,1.7,0.9,81.2,8,2.35,2.18,7.4,109
sfbfmwq,4/13/2018 11:45,0,1,16,1.59,0.8,82.9,8.1,2.39,2.23,7.3,114
sfbfmwq,4/13/2018 12:00,0,1,16.1,1.5,0.8,83.7,8.2,2.42,2.26,7.3,92
sfbfmwq,4/13/2018 12:15,0,1,16.1,1.45,0.7,84.1,8.2,2.44,2.28,7.3,92
sfbfmwq,4/13/2018 12:30,0,1,16.1,1.43,0.7,79.1,7.8,2.45,2.29,7.3,80
sfbfmwq,4/13/2018 12:45,0,1,16.1,1.48,0.8,82.3,8.1,2.44,2.28,7.3,87
sfbfmwq,4/13/2018 13:00,0,1,16.1,1.62,0.8,81.7,8,2.42,2.26,7.3,91
sfbfmwq,4/13/2018 13:15,0,1,16.1,1.8,0.9,78.9,7.7,2.39,2.23,7.4,85
sfbfmwq,4/13/2018 13:30,0,1,16,2.05,1.1,74.7,7.3,2.35,2.19,7.4,81
sfbfmwq,4/13/2018 13:45,0,1,16.1,2.06,1.1,74.5,7.3,2.3,2.15,7.4,80
sfbfmwq,4/13/2018 14:00,0,1,16.3,2.14,1.1,73.2,7.1,2.24,2.09,7.4,78
sfbfmwq,4/13/2018 14:15,0,1,16.6,2.11,1.1,75,7.3,2.17,2.02,7.5,81
sfbfmwq,4/13/2018 14:30,0,1,17.4,2.3,1.2,72.8,6.9,2.09,1.94,7.5,72
sfbfmwq,4/13/2018 14:45,0,1,17.2,2.37,1.2,68.5,6.6,2.02,1.88,7.5,70
sfbfmwq,4/13/2018 15:00,0,1,17.1,2.39,1.2,67.2,6.4,1.94,1.8,7.5,74
sfbfmwq,4/13/2018 15:15,0,1,17.4,2.4,1.2,67.9,6.5,1.87,1.73,7.5,71
sfbfmwq,4/13/2018 15:30,0,1,17.8,2.4,1.2,67.9,6.4,1.79,1.65,7.5,69
