Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Turb,F_Turb,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,CondmS/cm,SpCond,F_SpCond,Sal,F_Sal,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,fDOMRFU,fDOMQSU,WiperPosV,Depth,F_Depth
5/11/2018,9:15, ,0,LHS,0,6.2,56.16,<0> (CND),77,<0> (CND),7.07,<0> (CND),7.94,<0> (CND),-70.1,19.1,<0> (CND),2.3711,2.6723,<0> (CND),1.39,<0> (CND),1.66,6.73,0.17,0.19,1.61,-0.64,46.75,140.26,1.229,1.546,<0> (CND)
5/11/2018,9:30, ,0,LHS,0,6.2,52.74,0,76.8,0,7.05,0,7.93,0,-69.6,19.118,0,2.3627,2.6618,0,1.38,0,1.66,6.71,0.2,0.21,1.61,-0.62,46.34,139.03,1.228,1.621,0
5/11/2018,9:45, ,0,LHS,0,6.2,56.76,0,76.9,0,7.06,0,7.92,0,-69,19.107,0,2.3579,2.6569,0,1.38,0,1.62,6.58,0.16,0.17,1.58,-0.66,46.35,139.07,1.225,1.687,0
5/11/2018,10:00, ,0,LHS,0,6.2,52.18,0,77.2,0,7.08,0,7.91,0,-68.8,19.128,0,2.3508,2.6477,0,1.38,0,1.58,6.4,0.16,0.18,1.53,-0.65,46.22,138.68,1.223,1.746,0
5/11/2018,10:15, ,0,LHS,0,6.2,51.61,0,77.3,0,7.09,0,7.91,0,-68.6,19.155,0,2.3476,2.6426,0,1.37,0,1.56,6.34,0.17,0.18,1.51,-0.65,46.22,138.66,1.223,1.797,0
5/11/2018,10:30, ,0,LHS,0,6.2,47.22,0,77.3,0,7.09,0,7.91,0,-68.5,19.183,0,2.3458,2.639,0,1.37,0,1.56,6.33,0.17,0.18,1.51,-0.65,46.23,138.71,1.23,1.84,0
5/11/2018,10:45, ,0,LHS,0,6.2,56.29,0,77.3,0,7.09,0,7.9,0,-68.2,19.177,0,2.3389,2.6316,0,1.37,0,1.53,6.22,0.19,0.2,1.48,-0.63,46.14,138.43,1.225,1.875,0
5/11/2018,11:00, ,0,LHS,0,6.2,68.56,0,77.6,0,7.1,0,7.9,0,-68.1,19.27,0,2.3407,2.6284,0,1.36,0,1.55,6.29,0.15,0.16,1.5,-0.67,46.44,139.33,1.226,1.899,0
5/11/2018,11:15, ,0,LHS,0,6.2,50.45,0,77.6,0,7.1,0,7.9,0,-67.9,19.265,0,2.3357,2.6231,0,1.36,0,1.54,6.25,0.15,0.17,1.49,-0.66,46.43,139.3,1.225,1.909,0
5/11/2018,11:30, ,0,LHS,0,6.2,48.42,0,77.2,0,7.08,0,7.89,0,-67.5,19.232,0,2.3213,2.6087,0,1.35,0,1.52,6.18,0.18,0.19,1.47,-0.64,46.36,139.11,1.225,1.908,0
5/11/2018,11:45, ,0,LHS,0,6.2,48.85,0,75.6,0,6.92,0,7.88,0,-67,19.27,0,2.333,2.6197,0,1.36,0,1.58,6.39,0.17,0.18,1.53,-0.65,47.23,141.7,1.224,1.894,0
