Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Temp,F_Temp,CondmS/cm,SpCond,F_SpCond,Sal,F_Sal,fDOMRFU,fDOMQSU,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Turb,F_Turb,pH,F_pH,pHmV,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,WiperPosV,Depth,F_Depth
6/7/2018,8:15, ,0,LHS,0,6.1,19.759,<0> (CND),3.3348,3.7057,<0> (CND),1.96,<0> (CND),35.83,107.49,76.3,<0> (CND),6.89,<0> (CND),35.9,<0> (CND),7.92,<0> (CND),-86.2,1.48,5.99,0.39,0.36,1.41,-0.09,1.203,1.82,<0> (CND)
6/7/2018,8:30, ,0,LHS,0,6.2,19.919,0,3.3344,3.6928,0,1.95,0,37.09,111.25,71.4,0,6.43,0,29.8,0,7.89,0,-84.5,1.32,5.35,0.27,0.24,1.25,-0.21,1.201,1.815,0
6/7/2018,8:45, ,0,LHS,0,6.2,19.911,0,3.3331,3.6919,0,1.95,0,36.39,109.16,74.9,0,6.74,0,35.54,0,7.91,0,-85.7,1.37,5.56,0.28,0.25,1.3,-0.2,1.208,1.8,0
6/7/2018,9:00, ,0,LHS,0,6.2,19.911,0,3.331,3.6896,0,1.95,0,36.42,109.25,75.3,0,6.78,0,35.79,0,7.92,0,-86.1,1.41,5.74,0.31,0.28,1.35,-0.18,1.199,1.769,0
6/7/2018,9:15, ,0,LHS,0,6.2,19.973,0,3.3278,3.6813,0,1.95,0,36.42,109.24,76,0,6.83,0,34.96,0,7.93,0,-86.7,1.4,5.68,0.33,0.3,1.33,-0.16,1.192,1.731,0
6/7/2018,9:30, ,0,LHS,0,6.2,20.099,0,3.3277,3.6714,0,1.94,0,36.56,109.66,76.9,0,6.9,0,34.66,0,7.94,0,-87.2,1.41,5.72,0.32,0.29,1.34,-0.17,1.195,1.683,0
6/7/2018,9:45, ,0,LHS,0,6.2,20.054,0,3.3101,3.6554,0,1.93,0,36.32,108.96,76.5,0,6.87,0,37.79,0,7.94,0,-87.3,1.42,5.77,0.32,0.29,1.35,-0.17,1.195,1.629,0
6/7/2018,10:00, ,0,LHS,0,6.2,20.067,0,3.3006,3.644,0,1.93,0,36.39,109.16,76.6,0,6.88,0,38.39,0,7.94,0,-87.5,1.45,5.87,0.36,0.33,1.38,-0.12,1.197,1.57,0
6/7/2018,10:15, ,0,LHS,0,6.2,19.931,0,3.2807,3.6324,0,1.92,0,35.78,107.33,75.7,0,6.81,0,42.76,0,7.94,0,-87.5,1.47,5.95,0.39,0.36,1.4,-0.09,1.199,1.511,0
6/7/2018,10:30, ,0,LHS,0,6.2,19.969,0,3.2764,3.6247,0,1.92,0,35.83,107.49,75.9,0,6.83,0,45.38,0,7.95,0,-87.9,1.44,5.85,0.36,0.33,1.37,-0.13,1.209,1.451,0
6/7/2018,10:45, ,0,LHS,0,6.2,19.998,0,3.2744,3.6203,0,1.91,0,35.72,107.17,75.8,0,6.81,0,44.48,0,7.95,0,-87.7,1.47,5.98,0.37,0.34,1.41,-0.12,1.205,1.394,0
6/7/2018,11:00, ,0,LHS,0,6.2,20.105,0,3.2766,3.6146,0,1.91,0,35.77,107.29,75.8,0,6.8,0,46.23,0,7.95,0,-87.9,1.57,6.38,0.36,0.33,1.51,-0.12,1.202,1.335,0
