Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,pH,F_pH,pHmV,fDOMRFU,fDOMQSU,Temp,F_Temp,CondmS/cm,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,Turb,F_Turb,WiperPosV,Depth,F_Depth
7/5/2018,8:45, ,0,LHS,0,6.2,7.77,<0> (CND),-62.5,47.44,142.3,19.421,<0> (CND),5.9895,6.7039,<0> (CND),3.69,<0> (CND),75.4,<0> (CND),6.78,<0> (CND),1.4,5.58,0.16,0.15,1.36,-0.65,33,<0> (CND),1.2,1.584,<0> (CND)
7/5/2018,9:00, ,0,LHS,0,6.2,7.71,0,-59.1,48.74,146.19,19.323,0,5.944,6.6669,0,3.66,0,69.1,0,6.24,0,1.47,5.84,0.17,0.16,1.42,-0.64,32.14,0,1.194,1.52,0
7/5/2018,9:15, ,0,LHS,0,6.2,7.68,0,-57.2,49.31,147.92,19.324,0,5.9061,6.6242,0,3.64,0,66.9,0,6.03,0,1.45,5.79,0.17,0.16,1.41,-0.65,46.72,0,1.201,1.453,0
7/5/2018,9:30, ,0,LHS,0,6.2,7.64,0,-55.2,50.14,150.39,19.362,0,5.8634,6.571,0,3.61,0,64.1,0,5.78,0,1.52,6.06,0.18,0.17,1.48,-0.63,34.63,0,1.194,1.39,0
7/5/2018,9:45, ,0,LHS,0,6.2,7.61,0,-53.2,51.32,153.92,19.43,0,5.8255,6.5191,0,3.58,0,61.5,0,5.54,0,1.57,6.25,0.23,0.21,1.53,-0.59,33.63,0,1.201,1.33,0
7/5/2018,10:00, ,0,LHS,0,6.2,7.59,0,-52.1,52.55,157.64,19.511,0,5.7941,6.4727,0,3.55,0,60.5,0,5.44,0,1.63,6.48,0.2,0.18,1.58,-0.62,35.02,0,1.202,1.273,0
7/5/2018,10:15, ,0,LHS,0,6.2,7.56,0,-50.7,53.41,160.19,19.504,0,5.7682,6.4447,0,3.53,0,58.4,0,5.25,0,1.7,6.75,0.17,0.15,1.65,-0.65,35.38,0,1.203,1.216,0
7/5/2018,10:30, ,0,LHS,0,6.2,7.59,0,-52.1,53.77,161.29,19.658,0,5.7752,6.4314,0,3.52,0,60.2,0,5.4,0,1.69,6.74,0.2,0.18,1.65,-0.62,37.14,0,1.201,1.161,0
7/5/2018,10:45, ,0,LHS,0,6.2,7.59,0,-52.5,53.94,161.81,19.751,0,5.7799,6.424,0,3.52,0,60.7,0,5.43,0,1.66,6.62,0.21,0.19,1.62,-0.61,38.25,0,1.202,1.11,0
7/5/2018,11:00, ,0,LHS,0,6.2,7.58,0,-51.9,54.67,163.97,19.724,0,5.7701,6.4167,0,3.52,0,59.3,0,5.31,0,1.75,6.97,0.21,0.19,1.71,-0.61,35.95,0,1.203,1.061,0
