Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,pH,F_pH,pHmV,Turb,F_Turb,Temp,F_Temp,CondmS/cm,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,fDOMRFU,fDOMQSU,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,WiperPosV,Depth,F_Depth
5/11/2018,10:15, ,0,LP,0,5.9,7.98,<0> (CND),-60.3,68.74,<0> (CND),19.256,<0> (CND),2.3756,2.6684,<0> (CND),1.39,<0> (CND),84.9,<0> (CND),7.77,<0> (CND),45.52,136.56,1.88,7.55,0.3,0.29,1.68,-0.72,1.205,1.793,<0> (CND)
5/11/2018,10:30, ,0,LP,0,6,7.91,0,-56.4,63.33,0,19.162,0,2.3779,2.6763,0,1.39,0,72.9,0,6.68,0,48.42,145.24,1.94,7.79,0.22,0.21,1.74,-0.8,1.197,1.901,0
5/11/2018,10:45, ,0,LP,0,6,7.89,0,-55.4,40.93,0,19.122,0,2.3706,2.6704,0,1.39,0,70.8,0,6.5,0,50.33,150.98,1.85,7.45,0.2,0.19,1.66,-0.81,1.206,1.934,0
5/11/2018,11:00, ,0,LP,0,6,7.9,0,-55.7,43.36,0,19.089,0,2.3647,2.6656,0,1.38,0,70.7,0,6.49,0,49.47,148.4,1.86,7.47,0.21,0.2,1.66,-0.8,1.205,1.958,0
5/11/2018,11:15, ,0,LP,0,6,7.92,0,-56.9,52.44,0,19.174,0,2.3675,2.6639,0,1.38,0,75,0,6.88,0,49.09,147.25,1.9,7.62,0.21,0.2,1.7,-0.8,1.206,1.969,0
5/11/2018,11:30, ,0,LP,0,6,7.92,0,-57.3,46.81,0,19.435,0,2.3733,2.6555,0,1.38,0,76.9,0,7.02,0,48.92,146.74,1.83,7.36,0.2,0.19,1.64,-0.81,1.211,1.967,0
5/11/2018,11:45, ,0,LP,0,6,7.92,0,-56.8,48.67,0,19.099,0,2.3538,2.6528,0,1.38,0,74.6,0,6.85,0,49.02,147.04,1.83,7.35,0.22,0.21,1.63,-0.79,1.204,1.952,0
5/11/2018,12:00, ,0,LP,0,6,7.9,0,-55.8,50.86,0,19.063,0,2.3493,2.6497,0,1.38,0,72.9,0,6.7,0,48.67,146,1.82,7.31,0.18,0.17,1.62,-0.83,1.201,1.929,0
5/11/2018,12:15, ,0,LP,0,6,7.91,0,-56.7,46.56,0,19.224,0,2.3645,2.6577,0,1.38,0,75.3,0,6.9,0,49.18,147.53,1.85,7.44,0.21,0.2,1.65,-0.8,1.207,1.896,0
5/11/2018,12:30, ,0,LP,0,6,7.93,0,-57.4,60.84,0,19.17,0,2.3623,2.6584,0,1.38,0,75.9,0,6.96,0,49.54,148.61,1.84,7.4,0.2,0.19,1.64,-0.81,1.204,1.852,0
5/11/2018,12:45, ,0,LP,0,6,7.93,0,-57.4,52.95,0,19.239,0,2.3694,2.6624,0,1.38,0,75.6,0,6.92,0,48.89,146.65,1.86,7.49,0.22,0.21,1.67,-0.8,1.207,1.799,0
5/11/2018,13:00, ,0,LP,0,6,7.93,0,-57.8,113.88,0,19.695,0,2.4052,2.6764,0,1.39,0,77.3,0,7.01,0,49.05,147.13,1.93,7.77,0.19,0.18,1.74,-0.83,1.201,1.736,0
5/11/2018,13:15, ,0,LP,0,6,7.94,0,-58.5,43.26,0,20.06,0,2.4291,2.6821,0,1.39,0,78.7,0,7.09,0,48.63,145.9,1.96,7.89,0.22,0.22,1.77,-0.79,1.204,1.661,0
5/11/2018,13:30, ,0,LP,0,6,7.94,0,-58.6,43.13,0,20.098,0,2.44,2.6921,0,1.4,0,78.1,0,7.03,0,49.14,147.41,2.06,8.26,0.22,0.22,1.86,-0.79,1.206,1.582,0
5/11/2018,13:45, ,0,LP,0,6,7.95,0,-58.7,46.16,0,20.12,0,2.4552,2.7075,0,1.41,0,78.4,0,7.05,0,48.78,146.34,2.01,8.07,0.22,0.21,1.81,-0.79,1.203,1.505,0
5/11/2018,14:00, ,0,LP,0,6,7.95,0,-58.9,47.71,0,20.165,0,2.4678,2.7189,0,1.41,0,78.4,0,7.05,0,48.9,146.69,2.08,8.37,0.21,0.2,1.89,-0.8,1.204,1.429,0
5/11/2018,14:15, ,0,LP,0,6,7.95,0,-59.2,45.03,0,20.27,0,2.4794,2.7257,0,1.42,0,78.5,0,7.04,0,49.13,147.39,2.09,8.4,0.22,0.22,1.89,-0.79,1.198,1.351,0
5/11/2018,14:30, ,0,LP,0,6,7.96,0,-59.4,46.35,0,20.368,0,2.4877,2.7291,0,1.42,0,78.4,0,7.02,0,49.03,147.07,2.13,8.55,0.22,0.22,1.93,-0.79,1.206,1.277,0
5/11/2018,14:45, ,0,LP,0,6,7.96,0,-59.8,47.67,0,20.462,0,2.492,2.7285,0,1.42,0,78.4,0,7.01,0,48.95,146.83,2.15,8.64,0.2,0.2,1.95,-0.81,1.197,1.199,0
5/11/2018,15:00, ,0,LP,0,6,7.97,0,-60.3,50.01,0,20.512,0,2.4847,2.7177,0,1.41,0,78,0,6.96,0,48.93,146.78,2.23,8.96,0.22,0.21,2.03,-0.79,1.204,1.126,0
5/11/2018,15:15, ,0,LP,0,6,7.98,0,-60.7,45.71,0,20.556,0,2.4661,2.6948,0,1.4,0,76.9,0,6.86,0,44.39,133.16,2.25,9.02,0.26,0.25,2.05,-0.76,1.202,1.058,0
5/11/2018,15:30, ,0,LP,0,6,7.98,0,-60.7,44.83,0,20.705,0,2.4516,2.6707,0,1.39,0,75.8,0,6.74,0,47.28,141.82,2.25,9.04,0.25,0.24,2.05,-0.76,1.206,0.996,0
5/11/2018,15:45, ,0,LP,0,6,7.98,0,-61.1,41.89,0,20.905,0,2.4324,2.6388,0,1.37,0,75.2,0,6.67,0,48.82,146.47,2.35,9.43,0.24,0.23,2.15,-0.77,1.204,0.941,0
5/11/2018,16:00, ,0,LP,0,6,7.98,0,-61.1,41.78,0,20.95,0,2.4124,2.6146,0,1.35,0,74.3,0,6.58,0,48.23,144.69,2.46,9.87,0.25,0.24,2.26,-0.77,1.207,0.891,0
5/11/2018,16:15, ,0,LP,0,6,7.99,0,-61.3,46.08,0,21.061,0,2.3971,2.5922,0,1.34,0,73.4,0,6.48,0,48.15,144.45,2.47,9.91,0.26,0.25,2.27,-0.76,1.204,0.846,0
5/11/2018,16:30, ,0,LP,0,6,7.98,0,-61.2,44.78,0,21.042,0,2.3764,2.5707,0,1.33,0,71.8,0,6.35,0,48.25,144.73,2.42,9.72,0.24,0.23,2.22,-0.77,1.204,0.804,0
5/11/2018,16:45, ,0,LP,0,6,7.99,0,-61.3,41.63,0,21.074,0,2.3555,2.5465,0,1.32,0,70.5,0,6.23,0,48.06,144.17,2.24,8.98,0.23,0.22,2.04,-0.78,1.204,0.767,0
5/11/2018,17:00, ,0,LP,0,6,7.98,0,-61.2,38.03,0,21.09,0,2.3419,2.5309,0,1.31,0,69.3,0,6.12,0,48.36,145.06,2.28,9.14,0.24,0.23,2.08,-0.78,1.209,0.738,0
5/11/2018,17:15, ,0,LP,0,6,7.98,0,-61,38,0,21.06,0,2.3232,2.5122,0,1.3,0,67.3,0,5.95,0,48.61,145.83,2.23,8.95,0.21,0.21,2.03,-0.8,1.204,0.708,0
5/11/2018,17:30, ,0,LP,0,6,7.97,0,-60.2,36.94,0,21.046,0,2.3215,2.5111,0,1.3,0,64.6,0,5.71,0,49.09,147.25,2.03,8.16,0.19,0.18,1.84,-0.82,1.206,0.681,0
5/11/2018,17:45, ,0,LP,0,6,7.95,0,-59,26.12,0,21.028,0,2.3124,2.5022,0,1.29,0,59.4,0,5.25,0,50.5,151.48,1.92,7.73,0.16,0.15,1.73,-0.85,1.205,0.663,0
5/11/2018,18:00, ,0,LP,0,6,7.96,0,-59.9,35.76,0,20.962,0,2.3102,2.5033,0,1.29,0,64.6,0,5.72,0,47.35,142.06,2.21,8.89,0.24,0.23,2.02,-0.77,1.205,0.655,0
5/11/2018,18:15, ,0,LP,0,6,7.97,0,-60.4,37.4,0,20.938,0,2.298,2.4913,0,1.29,0,65.4,0,5.79,0,47.97,143.91,2.19,8.8,0.24,0.23,2,-0.77,1.202,0.655,0
5/11/2018,18:30, ,0,LP,0,6,7.99,0,-61.3,42.63,0,20.815,0,2.2922,2.4914,0,1.29,0,68,0,6.04,0,47.07,141.21,2.26,9.08,0.23,0.23,2.06,-0.78,1.208,0.674,0
5/11/2018,18:45, ,0,LP,0,6,7.98,0,-61,43.02,0,20.757,0,2.3019,2.5049,0,1.3,0,68.4,0,6.08,0,48.2,144.6,2.28,9.16,0.23,0.22,2.08,-0.78,1.2,0.719,0
5/11/2018,19:00, ,0,LP,0,6,7.98,0,-60.7,38.18,0,20.687,0,2.3045,2.5114,0,1.3,0,67.4,0,6,0,47.74,143.2,2.39,9.59,0.25,0.24,2.19,-0.77,1.204,0.783,0
5/11/2018,19:15, ,0,LP,0,6,7.99,0,-61.3,41.16,0,20.523,0,2.3137,2.5301,0,1.31,0,69.3,0,6.19,0,46.57,139.71,2.25,9.05,0.25,0.24,2.06,-0.77,1.203,0.861,0
5/11/2018,19:30, ,0,LP,0,5.9,8.08,0,-67,47.38,0,20.602,0,2.3882,2.6072,0,1.35,0,83.3,0,7.42,0,47.55,142.64,6.08,24.35,0.61,0.6,5.88,-0.4,1.206,0.952,0
5/11/2018,19:45, ,0,LP,0,6,8.15,0,-70.8,40.38,0,20.679,0,2.4714,2.6937,0,1.4,0,95.2,0,8.47,0,47.88,143.62,7.6,30.45,0.85,0.84,7.41,-0.17,1.2,1.047,0
5/11/2018,20:00, ,0,LP,0,5.9,8.09,0,-67.4,65.24,0,20.634,0,2.5193,2.7485,0,1.43,0,91.3,0,8.13,0,48.06,144.17,5.81,23.26,0.65,0.64,5.61,-0.36,1.205,1.145,0
5/11/2018,20:15, ,0,LP,0,5.9,8.06,0,-65.5,56.51,0,20.517,0,2.5383,2.776,0,1.44,0,87.3,0,7.79,0,48.1,144.28,4.49,17.98,0.54,0.53,4.29,-0.47,1.209,1.242,0
5/11/2018,20:30, ,0,LP,0,6,8.02,0,-63.3,83.6,0,20.338,0,2.5172,2.7632,0,1.44,0,86.6,0,7.75,0,45.43,136.27,3.76,15.05,0.45,0.44,3.56,-0.56,1.207,1.34,0
5/11/2018,20:45, ,0,LP,0,5.9,8.02,0,-63.4,76.06,0,20.34,0,2.4967,2.7407,0,1.42,0,86.6,0,7.76,0,45.4,136.18,3.49,14.01,0.43,0.42,3.3,-0.58,1.204,1.435,0
5/11/2018,21:00, ,0,LP,0,5.9,8.02,0,-63,62.85,0,20.277,0,2.4959,2.7434,0,1.43,0,84.9,0,7.62,0,47.48,142.44,3.81,15.29,0.44,0.43,3.62,-0.57,1.206,1.528,0
5/11/2018,21:15, ,0,LP,0,6,8.01,0,-62.6,57.25,0,20.239,0,2.4603,2.7065,0,1.41,0,82.8,0,7.44,0,46.33,138.98,3.19,12.78,0.38,0.37,2.99,-0.63,1.208,1.622,0
5/11/2018,21:30, ,0,LP,0,6,7.99,0,-61.1,46.22,0,20.189,0,2.4269,2.6724,0,1.39,0,79.5,0,7.15,0,47.86,143.58,2.77,11.09,0.31,0.3,2.57,-0.7,1.208,1.711,0
5/11/2018,21:45, ,0,LP,0,5.9,7.97,0,-60.2,43.3,0,20.099,0,2.4227,2.6729,0,1.39,0,78.5,0,7.07,0,49.06,147.16,2.38,9.53,0.24,0.23,2.18,-0.77,1.205,1.799,0
5/11/2018,22:00, ,0,LP,0,5.9,7.96,0,-59.9,52.41,0,20.05,0,2.4155,2.6677,0,1.38,0,78.8,0,7.1,0,47.19,141.57,2.44,9.79,0.3,0.29,2.24,-0.72,1.206,1.874,0
5/11/2018,22:15, ,0,LP,0,6,7.95,0,-59.1,65.71,0,19.958,0,2.4055,2.6618,0,1.38,0,79.1,0,7.14,0,46.16,138.47,2.18,8.73,0.28,0.28,1.98,-0.73,1.203,1.942,0
5/11/2018,22:30, ,0,LP,0,5.9,7.94,0,-58.6,63.32,0,19.907,0,2.4017,2.6605,0,1.38,0,77.1,0,6.97,0,47.06,141.16,2.11,8.46,0.25,0.25,1.91,-0.76,1.206,2.003,0
5/11/2018,22:45, ,0,LP,0,5.9,7.93,0,-57.5,46.66,0,19.841,0,2.3985,2.6607,0,1.38,0,73.4,0,6.64,0,49.16,147.47,2.12,8.52,0.23,0.22,1.93,-0.79,1.201,2.06,0
5/11/2018,23:00, ,0,LP,0,5.9,7.92,0,-57,52.83,0,19.786,0,2.3846,2.6483,0,1.37,0,77.5,0,7.02,0,47.01,141.03,2.05,8.22,0.23,0.22,1.85,-0.78,1.207,2.111,0
5/11/2018,23:15, ,0,LP,0,5.9,7.91,0,-56.6,48.94,0,19.731,0,2.3755,2.6413,0,1.37,0,76.2,0,6.91,0,47.2,141.6,1.97,7.93,0.23,0.22,1.78,-0.78,1.204,2.153,0
5/11/2018,23:30, ,0,LP,0,5.9,7.91,0,-56.7,48.69,0,19.638,0,2.3666,2.6366,0,1.37,0,77.3,0,7.03,0,46.17,138.5,2,8.03,0.23,0.22,1.8,-0.78,1.209,2.184,0
5/11/2018,23:45, ,0,LP,0,5.9,7.91,0,-56.2,59.6,0,19.599,0,2.358,2.6293,0,1.36,0,77.2,0,7.02,0,46.11,138.32,1.91,7.68,0.21,0.2,1.72,-0.8,1.202,2.203,0
