Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,fDOMRFU,fDOMQSU,Temp,F_Temp,CondmS/cm,SpCond,F_SpCond,Sal,F_Sal,Turb,F_Turb,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,WiperPosV,Depth,F_Depth
7/5/2018,9:45, ,0,LP,0,6.2,1.83,7.35,0.19,0.2,1.66,-0.82,48.32,145.02,19.962,<0> (CND),5.7665,6.3805,<0> (CND),3.49,<0> (CND),38.2,<0> (CND),72.2,<0> (CND),6.44,<0> (CND),7.7,<0> (CND),-50.4,1.207,1.385,<0> (CND)
7/5/2018,10:00, ,0,LP,0,6.2,1.81,7.26,0.17,0.19,1.63,-0.83,49.88,149.7,20.017,0,5.6757,6.2728,0,3.43,0,31.76,0,69.5,0,6.19,0,7.69,0,-49.9,1.2,1.332,0
7/5/2018,10:15, ,0,LP,0,6.2,1.78,7.13,0.19,0.21,1.6,-0.81,49.5,148.56,20.122,0,5.647,6.2272,0,3.4,0,33.65,0,69.3,0,6.16,0,7.7,0,-50.2,1.201,1.274,0
7/5/2018,10:30, ,0,LP,0,6.2,1.83,7.33,0.19,0.2,1.65,-0.82,50.09,150.33,20.244,0,5.6172,6.1784,0,3.38,0,31.56,0,68.7,0,6.1,0,7.7,0,-50.4,1.206,1.22,0
7/5/2018,10:45, ,0,LP,0,6.2,1.85,7.42,0.2,0.21,1.68,-0.81,49.24,147.76,20.378,0,5.5757,6.1157,0,3.34,0,33.74,0,68.7,0,6.08,0,7.71,0,-50.9,1.207,1.167,0
7/5/2018,11:00, ,0,LP,0,6.2,1.89,7.57,0.26,0.27,1.71,-0.75,47.16,141.53,20.522,0,5.5026,6.0173,0,3.28,0,33.95,0,68.9,0,6.08,0,7.72,0,-51.4,1.198,1.119,0
7/5/2018,11:15, ,0,LP,0,6.2,1.95,7.79,0.2,0.21,1.77,-0.81,50.5,151.55,20.712,0,5.4554,5.942,0,3.24,0,29.22,0,69.2,0,6.09,0,7.73,0,-52.1,1.2,1.072,0
7/5/2018,11:30, ,0,LP,0,6.2,1.94,7.76,0.19,0.2,1.76,-0.82,50.19,150.62,20.681,0,5.3485,5.8294,0,3.17,0,33.52,0,68.7,0,6.05,0,7.74,0,-52.9,1.211,1.033,0
7/5/2018,11:45, ,0,LP,0,6.2,1.92,7.69,0.19,0.2,1.74,-0.82,50.77,152.35,20.653,0,5.2821,5.7604,0,3.13,0,32.18,0,67.4,0,5.94,0,7.74,0,-53.1,1.198,0.994,0
7/5/2018,12:00, ,0,LP,0,6.2,1.92,7.71,0.17,0.18,1.75,-0.84,51.2,153.65,20.918,0,5.2906,5.738,0,3.12,0,30.25,0,67.5,0,5.92,0,7.74,0,-53.1,1.207,0.96,0
7/5/2018,12:15, ,0,LP,0,6.2,1.99,7.97,0.2,0.21,1.81,-0.81,51.49,154.51,21.493,0,5.2654,5.6434,0,3.06,0,29,0,69.3,0,6.01,0,7.76,0,-54,1.198,0.929,0
7/5/2018,12:30, ,0,LP,0,6.2,2.12,8.49,0.21,0.22,1.94,-0.8,51.02,153.1,21.84,0,5.2206,5.5559,0,3.01,0,28.2,0,70.9,0,6.11,0,7.78,0,-55.3,1.209,0.894,0
7/5/2018,12:45, ,0,LP,0,6.2,2.03,8.14,0.18,0.19,1.85,-0.83,51.1,153.35,22.001,0,5.1789,5.4935,0,2.97,0,26.9,0,70.2,0,6.04,0,7.77,0,-55,1.197,0.864,0
7/5/2018,13:00, ,0,LP,0,6.2,2.08,8.32,0.19,0.2,1.9,-0.82,51.46,154.41,22.028,0,5.1127,5.4204,0,2.93,0,26.77,0,69.7,0,5.99,0,7.79,0,-55.7,1.203,0.833,0
