Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Turb,F_Turb,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,CondmS/cm,SpCond,F_SpCond,Sal,F_Sal,fDOMRFU,fDOMQSU,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,Depth,F_Depth,WiperPosV
6/8/2017,16:00, ,0,LP,0,5.9,56.56,0,71.1,0,6.41,0,7.84,0,-54.8,20.117,0,1.8152,2.002,0,1.02,0,37.41,105.98,1.83,6.51,0.35,-0.59,1.67,-0.7,1.985,0,1.203
6/8/2017,16:15, ,0,LP,0,5.9,53.29,0,69.8,0,6.31,0,7.84,0,-54.7,20.02,0,1.8176,2.0087,0,1.03,0,37.75,107.02,1.81,6.44,0.41,-0.53,1.66,-0.63,1.931,0,1.207
6/8/2017,16:30, ,0,LP,0,5.9,49.14,0,68.9,0,6.23,0,7.84,0,-54.8,20.003,0,1.832,2.0253,0,1.04,0,38.09,108.03,1.92,6.89,0.39,-0.55,1.77,-0.65,1.872,0,1.196
6/8/2017,16:45, ,0,LP,0,5.9,50.99,0,68.5,0,6.19,0,7.85,0,-55.1,20.024,0,1.8498,2.0441,0,1.05,0,38.67,109.76,2.12,7.67,0.43,-0.52,1.96,-0.62,1.81,0,1.203
6/8/2017,17:00, ,0,LP,0,5.9,45.74,0,68.4,0,6.18,0,7.86,0,-55.7,20.054,0,1.869,2.064,0,1.06,0,39.1,111.07,2.05,7.42,0.42,-0.52,1.9,-0.63,1.747,0,1.202
6/8/2017,17:15, ,0,LP,0,5.9,52.22,0,67.9,0,6.13,0,7.87,0,-56.4,20.049,0,1.8919,2.0895,0,1.07,0,39.77,113.06,2.23,8.14,0.46,-0.48,2.08,-0.58,1.684,0,1.206
6/8/2017,17:30, ,0,LP,0,5.9,47.41,0,67.6,0,6.1,0,7.87,0,-56.5,20.046,0,1.9022,2.1011,0,1.08,0,40.03,113.85,2.42,8.9,0.48,-0.46,2.27,-0.56,1.624,0,1.201
6/8/2017,17:45, ,0,LP,0,5.9,44.61,0,66.5,0,6,0,7.87,0,-56.4,20.043,0,1.9243,2.1256,0,1.09,0,40.92,116.53,2.76,10.25,0.51,-0.43,2.61,-0.53,1.565,0,1.206
6/8/2017,18:00, ,0,LP,0,5.9,46.63,0,66.5,0,6.01,0,7.88,0,-56.8,20.048,0,1.9467,2.1501,0,1.1,0,41.08,116.98,2.61,9.63,0.52,-0.42,2.45,-0.52,1.508,0,1.198
6/8/2017,18:15, ,0,LP,0,5.9,46.03,0,65.3,0,5.89,0,7.88,0,-56.8,20.048,0,1.9969,2.2055,0,1.13,0,41.88,119.38,2.36,8.65,0.48,-0.46,2.21,-0.56,1.455,0,1.203
