Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,CablePwrV,Turb,F_Turb,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,SpCond,Sal,F_Sal,fDOMRFU,fDOMQSU,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,WiperPosV,Pressbara,Depth,F_Depth
7/6/2017,14:00, ,0,LP,0,5.3,0,53.17,<0> (CND),76.3,<0> (CND),6.74,<0> (CND),7.75,<0> (CND),-51.8,21.083,<0> (CND),2465.5,1.27,<0> (CND),41.51,124.47,1.6,6.41,0.55,0.5,1.214,0.1926,1.998,<0> (CND)
7/6/2017,14:15, ,0,LP,0,5.4,0,50.37,0,75.4,0,6.64,0,7.75,0,-51.8,21.25,0,2468,1.27,0,41.47,124.34,1.62,6.52,0.52,0.47,1.206,0.1902,1.973,0
7/6/2017,14:30, ,0,LP,0,5.4,0,50.75,0,76.9,0,6.73,0,7.77,0,-53.1,21.568,0,2464,1.27,0,41.29,123.82,1.58,6.35,0.54,0.49,1.203,0.1868,1.939,0
7/6/2017,14:45, ,0,LP,0,5.4,0,47.37,0,77.4,0,6.75,0,7.78,0,-53.6,21.757,0,2463.2,1.27,0,41.08,123.17,1.64,6.6,0.53,0.48,1.202,0.1832,1.902,0
7/6/2017,15:00, ,0,LP,0,5.4,0,48.24,0,76.4,0,6.68,0,7.78,0,-53.3,21.567,0,2461.8,1.27,0,41.42,124.19,1.64,6.57,0.54,0.49,1.203,0.1789,1.857,0
7/6/2017,15:15, ,0,LP,0,5.4,0,46.37,0,76.5,0,6.68,0,7.78,0,-53.4,21.628,0,2461.7,1.27,0,41.58,124.67,1.58,6.34,0.52,0.48,1.156,0.1737,1.805,0
7/6/2017,15:30, ,0,LP,0,5.4,0,49.63,0,76.4,0,6.67,0,7.78,0,-53.4,21.723,0,2464.8,1.27,0,41.84,125.47,1.59,6.38,0.51,0.47,1.2,0.1692,1.759,0
7/6/2017,15:45, ,0,LP,0,5.4,0,49.27,0,75.9,0,6.61,0,7.77,0,-53.3,21.8,0,2470.2,1.27,0,41.99,125.9,1.62,6.52,0.53,0.49,1.202,0.1638,1.704,0
7/6/2017,16:00, ,0,LP,0,5.4,0,48.07,0,75.5,0,6.57,0,7.77,0,-53.2,21.866,0,2478.3,1.28,0,42.24,126.67,1.6,6.42,0.51,0.46,1.205,0.1584,1.648,0
7/6/2017,16:15, ,0,LP,0,5.4,0,51.37,0,75,0,6.53,0,7.77,0,-53.1,21.806,0,2481.7,1.28,0,42.49,127.42,1.63,6.52,0.54,0.49,1.211,0.1525,1.588,0
7/6/2017,16:30, ,0,LP,0,5.4,0,50.92,0,74.3,0,6.47,0,7.77,0,-52.9,21.807,0,2495.4,1.29,0,42.79,128.31,1.63,6.53,0.54,0.5,1.205,0.1467,1.529,0
7/6/2017,16:45, ,0,LP,0,5.4,0,49.57,0,73.7,0,6.43,0,7.77,0,-52.8,21.765,0,2502.9,1.29,0,42.16,126.42,1.61,6.48,0.51,0.46,1.213,0.1416,1.476,0
7/6/2017,17:00, ,0,LP,0,5.4,0,50.64,0,73.4,0,6.4,0,7.76,0,-52.7,21.745,0,2523.7,1.3,0,43.37,130.04,1.66,6.66,0.51,0.47,1.204,0.1361,1.421,0
7/6/2017,17:15, ,0,LP,0,5.4,0,49.09,0,72.8,0,6.35,0,7.76,0,-52.6,21.762,0,2537.3,1.31,0,43.57,130.65,1.65,6.64,0.53,0.49,1.213,0.1313,1.371,0
7/6/2017,17:30, ,0,LP,0,5.4,0,51.13,0,72.7,0,6.34,0,7.76,0,-52.5,21.771,0,2550,1.32,0,43.66,130.93,1.71,6.86,0.54,0.49,1.204,0.1268,1.325,0
7/6/2017,17:45, ,0,LP,0,5.4,0,50.22,0,72.6,0,6.32,0,7.76,0,-52.4,21.774,0,2568.2,1.33,0,44.2,132.55,1.76,7.05,0.54,0.5,1.211,0.1231,1.287,0
7/6/2017,18:00, ,0,LP,0,5.4,0,48.17,0,72,0,6.28,0,7.76,0,-52.3,21.746,0,2565.8,1.33,0,44.05,132.09,1.75,7.03,0.54,0.49,1.205,0.1202,1.258,0
