Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,fDOMRFU,fDOMQSU,pH,F_pH,pHmV,Temp,F_Temp,CondmS/cm,SpCond,F_SpCond,Sal,F_Sal,Turb,F_Turb,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,WiperPosV,Depth,F_Depth
8/2/2018,12:30, ,0,LP,0,6.1,1.67,6.59,0.37,0.35,1.51,-0.74,47.99,143.98,7.9,0,-84.2,21.082,0,7.7877,8.4177,0,4.7,0,21.77,0,83.1,0,7.2,0,1.206,0.791,0
8/2/2018,12:45, ,0,LP,0,6.1,1.57,6.2,0.34,0.31,1.41,-0.77,47.7,143.11,7.88,0,-83.2,20.866,0,7.7597,8.4249,0,4.7,0,22.25,0,79.6,0,6.92,0,1.21,0.788,0
8/2/2018,13:00, ,0,LP,0,6.1,1.51,5.97,0.26,0.24,1.35,-0.85,49.34,148.02,7.87,0,-82.2,20.552,0,7.7206,8.4374,0,4.71,0,16.84,0,75.6,0,6.62,0,1.207,0.804,0
8/2/2018,13:15, ,0,LP,0,6.1,1.52,6.01,0.32,0.29,1.36,-0.79,48.97,146.89,7.89,0,-83.8,20.992,0,7.7638,8.4073,0,4.69,0,19.45,0,80.4,0,6.97,0,1.206,0.841,0
8/2/2018,13:30, ,0,LP,0,6.1,1.6,6.31,0.37,0.35,1.44,-0.74,48.03,144.1,7.89,0,-83.6,20.811,0,7.8132,8.4927,0,4.74,0,94.4,0,80.3,0,6.99,0,1.203,0.895,0
8/2/2018,13:45, ,0,LP,0,6.2,1.5,5.92,0.3,0.28,1.34,-0.81,48.82,146.47,7.88,0,-83.1,20.821,0,7.8924,8.577,0,4.79,0,16.41,0,79,0,6.87,0,1.212,0.972,0
8/2/2018,14:00, ,0,LP,0,6.1,1.61,6.37,0.33,0.31,1.45,-0.78,47.67,143.02,7.88,0,-83,20.617,0,7.9567,8.6837,0,4.86,0,25.05,0,79,0,6.9,0,1.208,1.062,0
8/2/2018,14:15, ,0,LP,0,6.1,1.71,6.77,0.43,0.41,1.55,-0.68,44.6,133.8,7.94,0,-86.5,20.82,0,8.3715,9.0978,0,5.11,0,30.49,0,87.2,0,7.58,0,1.2,1.157,0
8/2/2018,14:30, ,0,LP,0,6.1,1.68,6.65,0.4,0.37,1.52,-0.71,44.64,133.92,7.94,0,-86.9,20.691,0,8.5344,9.2999,0,5.23,0,28.74,0,87.9,0,7.64,0,1.201,1.257,0
8/2/2018,14:45, ,0,LP,0,6.1,1.58,6.26,0.35,0.32,1.42,-0.76,45.5,136.49,7.93,0,-85.9,20.662,0,8.6091,9.3869,0,5.28,0,25.69,0,86.5,0,7.52,0,1.203,1.351,0
