Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Turb,F_Turb,fDOMRFU,fDOMQSU,Temp,F_Temp,CondmS/cm,SpCond,F_SpCond,Sal,F_Sal,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,pH,F_pH,pHmV,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,WiperPosV,Depth,F_Depth
4/13/2018,10:45, ,0,<site>,0,5.5,66.38,0,43.37,130.13,16.521,0,2.3689,2.8267,0,1.48,0,1.94,7.85,0.25,0.29,1.85,-0.15,7.48,0,-35.5,62.4,0,6.04,0,1.208,1.755,0
4/13/2018,11:00, ,0,<site>,0,5.5,66.82,0,43.06,129.19,16.498,0,2.4552,2.9313,0,1.53,0,2.6,10.48,0.31,0.34,2.51,-0.09,7.47,0,-35,62.8,0,6.08,0,1.194,1.826,0
4/13/2018,11:15, ,0,<site>,0,5.5,61.57,0,44.26,132.8,16.497,0,2.5276,3.0178,0,1.58,0,3.23,13,0.35,0.38,3.14,-0.05,7.47,0,-34.6,63.6,0,6.16,0,1.198,1.889,0
4/13/2018,11:30, ,0,<site>,0,5.5,61.87,0,44.43,133.31,16.494,0,2.5576,3.0537,0,1.6,0,3.42,13.78,0.35,0.39,3.34,-0.05,7.46,0,-34.3,63.6,0,6.15,0,1.202,1.946,0
4/13/2018,11:45, ,0,<site>,0,5.5,56.26,0,45.18,135.54,16.547,0,2.5802,3.077,0,1.61,0,3.21,12.93,0.35,0.38,3.13,-0.05,7.46,0,-34,63.5,0,6.14,0,1.199,1.988,0
4/13/2018,12:00, ,0,<site>,0,5.4,56.34,0,45.71,137.13,16.577,0,2.5943,3.0917,0,1.62,0,3.13,12.61,0.31,0.34,3.05,-0.09,7.45,0,-33.8,63,0,6.08,0,1.202,2.023,0
4/13/2018,12:15, ,0,<site>,0,5.4,57.81,0,45.39,136.18,16.628,0,2.5975,3.092,0,1.62,0,3.14,12.64,0.33,0.36,3.05,-0.07,7.45,0,-33.7,62.8,0,6.05,0,1.202,2.046,0
4/13/2018,12:30, ,0,<site>,0,5.5,43.79,0,47.03,141.1,16.625,0,2.6007,3.0959,0,1.62,0,2.27,9.19,0.23,0.26,2.19,-0.17,7.43,0,-32.3,60.3,0,5.82,0,1.202,2.055,0
4/13/2018,12:45, ,0,<site>,0,5.5,43.98,0,46.91,140.75,16.629,0,2.6039,3.0994,0,1.63,0,1.56,6.33,0.2,0.23,1.48,-0.2,7.37,0,-29.1,45.5,0,4.39,0,1.2,2.048,0
4/13/2018,13:00, ,0,<site>,0,5.4,50.88,0,45.08,135.24,16.623,0,2.6033,3.0992,0,1.63,0,2.54,10.23,0.26,0.3,2.45,-0.14,7.42,0,-31.8,52.6,0,5.07,0,1.202,2.032,0
