Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Turb,F_Turb,fDOMRFU,fDOMQSU,Temp,F_Temp,CondmS/cm,SpCond,F_SpCond,Sal,F_Sal,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,pH,F_pH,pHmV,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,WiperPosV,Depth,F_Depth,Temp°C,CondmS/cm,SpCondmS/cm,Salppt,ChlorophyllRFU,Chlorophyllµg/L,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,pH,pHmV,ODO%sat,ODOmg/L,TurbidityNTU,fDOMRFU,fDOMQSU,WiperPosV
5/11/2018,11:30, ,0,<site>,0,6.2,115.33,<0> (CND),29.8,89.37,19.584,<0> (CND),2.0842,2.3246,<0> (CND),1.2,<0> (CND),1.7,6.8,0.32,0.35,1.53,-0.97,7.7,<0> (CND),-56.6,76,<0> (CND),6.91,<0> (CND),1.197,1.877,<0> (CND),,,,,,,,,,,,,,,,,,
5/11/2018,11:45, ,0,<site>,0,6.2,75.09,0,33.27,99.79,19.231,0,2.0707,2.3271,0,1.2,0,1.68,6.73,0.35,0.38,1.51,-0.94,7.65,0,-53.7,68.8,0,6.31,0,1.207,1.864,0,,,,,,,,,,,,,,,,,,
5/11/2018,12:00, ,0,<site>,0,6.2,73.82,0,33.64,100.91,19.177,0,2.0872,2.3483,0,1.21,0,1.65,6.58,0.33,0.36,1.47,-0.96,7.67,0,-55.3,71.9,0,6.6,0,1.196,1.84,0,,,,,,,,,,,,,,,,,,
5/11/2018,12:15, ,0,<site>,0,6.2,65.53,0,34.41,103.2,19.162,0,2.1087,2.3733,0,1.23,0,1.68,6.7,0.35,0.38,1.51,-0.94,7.69,0,-56,72.9,0,6.69,0,1.188,1.807,0,,,,,,,,,,,,,,,,,,
5/11/2018,12:30, ,0,<site>,0,6.2,70,0,35.37,106.08,19.19,0,2.1302,2.3961,0,1.24,0,1.73,6.93,0.37,0.4,1.56,-0.92,7.7,0,-56.6,73,0,6.7,0,1.189,1.76,0,,,,,,,,,,,,,,,,,,
5/11/2018,12:45, ,0,<site>,0,6.2,64.06,0,35.69,107.06,19.34,0,2.1573,2.4187,0,1.25,0,1.74,6.95,0.36,0.38,1.57,-0.93,7.71,0,-57.3,73.2,0,6.7,0,1.199,1.703,0,,,,,,,,,,,,,,,,,,
5/11/2018,13:00, ,0,<site>,0,6.2,59.82,0,36.57,109.69,19.563,0,2.2263,2.4843,0,1.29,0,1.79,7.17,0.36,0.38,1.62,-0.93,7.73,0,-58.4,72.1,0,6.56,0,1.207,1.641,0,,,,,,,,,,,,,,,,,,
5/11/2018,13:15, ,0,<site>,0,6.2,70.94,0,36.54,109.59,19.864,0,2.2495,2.4942,0,1.29,0,1.79,7.14,0.36,0.38,1.62,-0.94,7.73,0,-58.6,72,0,6.52,0,1.204,1.568,0,,,,,,,,,,,,,,,,,,
5/11/2018,13:30, ,0,<site>,0,6.2,66.25,0,37.36,112.07,20.152,0,2.2701,2.5018,0,1.29,0,1.8,7.18,0.34,0.36,1.62,-0.95,7.74,0,-59.4,73.3,0,6.59,0,1.192,1.497,0,,,,,,,,,,,,,,,,,,
5/11/2018,13:45, ,0,<site>,0,6.2,63.86,0,38.18,114.52,20.677,0,2.3181,2.5267,0,1.31,0,1.85,7.4,0.33,0.36,1.68,-0.96,7.77,0,-61.1,75.6,0,6.73,0,1.195,1.418,0,,,,,,,,,,,,,,,,,,
