Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Temp,F_Temp,CondmS/cm,SpCond,F_SpCond,Sal,F_Sal,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,pH,F_pH,pHmV,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Turb,F_Turb,fDOMRFU,fDOMQSU,WiperPosV,Depth,F_Depth
6/7/2018,7:30, ,0,<site>,0,6.2,20.672,<0> (CND),4.2487,4.6316,<0> (CND),2.48,<0> (CND),0.82,3.23,0.15,0.17,0.69,-0.31,7.74,<0> (CND),-56,79.4,<0> (CND),7.02,<0> (CND),38.04,<0> (CND),34.38,103.08,1.202,1.753,<0> (CND)
6/7/2018,7:45, ,0,<site>,0,6.2,20.671,0,4.2616,4.6457,0,2.49,0,0.82,3.24,0.17,0.19,0.7,-0.29,7.73,0,-55.8,79.2,0,7,0,38.04,0,34.1,102.23,1.204,1.777,0
6/7/2018,8:00, ,0,<site>,0,6.2,20.694,0,4.2915,4.6761,0,2.51,0,0.82,3.24,0.13,0.15,0.7,-0.33,7.72,0,-55,78.1,0,6.91,0,34.23,0,33.75,101.18,1.21,1.792,0
6/7/2018,8:15, ,0,<site>,0,6.2,20.704,0,4.3057,4.6906,0,2.52,0,0.76,2.99,0.12,0.14,0.63,-0.34,7.7,0,-53.7,74,0,6.54,0,36.34,0,33.44,100.27,1.21,1.793,0
6/7/2018,8:30, ,0,<site>,0,6.2,20.678,0,4.2848,4.6703,0,2.5,0,0.78,3.07,0.13,0.15,0.65,-0.33,7.72,0,-54.8,77.3,0,6.83,0,41.59,0,32.86,98.54,1.198,1.785,0
6/7/2018,8:45, ,0,<site>,0,6.2,20.65,0,4.2608,4.6469,0,2.49,0,0.84,3.3,0.14,0.16,0.71,-0.32,7.72,0,-55.2,78.2,0,6.92,0,40.86,0,33.17,99.44,1.194,1.765,0
6/7/2018,9:00, ,0,<site>,0,6.2,20.64,0,4.2347,4.6194,0,2.48,0,0.83,3.28,0.14,0.16,0.71,-0.32,7.72,0,-55,77.6,0,6.86,0,42.46,0,33.14,99.36,1.201,1.74,0
6/7/2018,9:15, ,0,<site>,0,6.2,20.635,0,4.2013,4.5834,0,2.45,0,0.9,3.55,0.1,0.12,0.77,-0.36,7.72,0,-55.1,77.4,0,6.86,0,42.6,0,33.3,99.84,1.198,1.703,0
6/7/2018,9:30, ,0,<site>,0,6.2,20.623,0,4.1492,4.5277,0,2.42,0,0.87,3.42,0.11,0.13,0.74,-0.35,7.73,0,-55.4,77.3,0,6.85,0,41.18,0,34.16,102.41,1.199,1.657,0
6/7/2018,9:45, ,0,<site>,0,6.2,20.701,0,4.0739,4.4384,0,2.37,0,0.93,3.66,0.17,0.19,0.8,-0.29,7.75,0,-56.5,78,0,6.9,0,38.49,0,35.36,106.02,1.199,1.607,0
