Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Turb,F_Turb,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,Temp,F_Temp,CondmS/cm,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,fDOMRFU,fDOMQSU,pH,F_pH,pHmV,WiperPosV,Depth,F_Depth
7/5/2018,7:30, ,0,<site>,0,6.2,26.68,<0> (CND),1.21,4.85,0.22,0.26,1.04,-1.12,20.214,<0> (CND),7.8732,8.6652,<0> (CND),4.85,<0> (CND),83.9,<0> (CND),7.38,<0> (CND),32.74,98.27,7.84,<0> (CND),-65.4,1.199,1.83,<0> (CND)
7/5/2018,7:45, ,0,<site>,0,6.2,26.73,0,1.23,4.92,0.26,0.3,1.06,-1.08,20.129,0,7.7694,8.5664,0,4.79,0,83,0,7.32,0,33.5,100.53,7.84,0,-65.5,1.202,1.783,0
7/5/2018,8:00, ,0,<site>,0,6.2,31,0,1.31,5.26,0.28,0.33,1.14,-1.06,19.86,0,7.4771,8.291,0,4.62,0,81.4,0,7.22,0,34.67,104.03,7.84,0,-65.7,1.199,1.728,0
7/5/2018,8:15, ,0,<site>,0,6.2,30.33,0,1.31,5.24,0.24,0.29,1.14,-1.1,19.761,0,7.347,8.1639,0,4.55,0,81.1,0,7.21,0,35.49,106.5,7.85,0,-65.9,1.199,1.673,0
7/5/2018,8:30, ,0,<site>,0,6.2,29.58,0,1.31,5.24,0.27,0.32,1.14,-1.07,19.922,0,7.4117,8.2079,0,4.57,0,81.4,0,7.22,0,35.31,105.96,7.84,0,-65.6,1.202,1.615,0
7/5/2018,8:45, ,0,<site>,0,6.2,29.28,0,1.33,5.34,0.26,0.31,1.16,-1.08,19.968,0,7.3768,8.1612,0,4.55,0,81.2,0,7.19,0,34.57,103.74,7.84,0,-65.5,1.206,1.549,0
7/5/2018,9:00, ,0,<site>,0,6.2,31.58,0,1.34,5.38,0.28,0.33,1.17,-1.06,19.924,0,7.2832,8.0652,0,4.49,0,80.3,0,7.12,0,35.74,107.26,7.84,0,-65.4,1.195,1.479,0
7/5/2018,9:15, ,0,<site>,0,6.2,32.33,0,1.35,5.39,0.27,0.31,1.18,-1.07,19.916,0,7.2192,7.9955,0,4.45,0,79.7,0,7.07,0,36.1,108.34,7.84,0,-65.3,1.188,1.417,0
7/5/2018,9:30, ,0,<site>,0,6.2,33.22,0,1.4,5.62,0.31,0.35,1.23,-1.03,19.932,0,7.1535,7.9202,0,4.4,0,79.2,0,7.02,0,36.44,109.37,7.84,0,-65.3,1.192,1.358,0
7/5/2018,9:45, ,0,<site>,0,6.2,34.47,0,1.45,5.83,0.31,0.35,1.28,-1.04,19.99,0,7.0988,7.85,0,4.36,0,78.4,0,6.95,0,36.75,110.29,7.83,0,-65.1,1.207,1.3,0
7/5/2018,10:00, ,0,<site>,0,6.2,35.77,0,1.55,6.21,0.32,0.36,1.38,-1.02,20.011,0,7.0522,7.7951,0,4.33,0,78,0,6.92,0,36.77,110.34,7.83,0,-65.1,1.195,1.244,0
7/5/2018,10:15, ,0,<site>,0,6.2,36.94,0,1.58,6.33,0.35,0.39,1.41,-0.99,20.095,0,7.0087,7.7332,0,4.29,0,77.5,0,6.86,0,37.14,111.46,7.83,0,-65.1,1.198,1.185,0
7/5/2018,10:30, ,0,<site>,0,6.2,37.18,0,1.6,6.39,0.32,0.36,1.43,-1.02,20.235,0,6.9891,7.689,0,4.26,0,77.3,0,6.83,0,37.63,112.94,7.83,0,-65,1.206,1.137,0
7/5/2018,10:45, ,0,<site>,0,6.2,36.6,0,1.69,6.76,0.32,0.36,1.52,-1.02,20.435,0,6.992,7.6599,0,4.25,0,77.4,0,6.81,0,37.97,113.95,7.83,0,-65,1.191,1.086,0
