Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Turb,F_Turb,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,CondmS/cm,SpCond,F_SpCond,Sal,F_Sal,fDOMRFU,fDOMQSU,WiperPosV,Depth,F_Depth
6/8/2017,11:15, ,0,SD1,0,5.7,56.28,<0> (CND),1.78,7.14,0.33,0.35,1.6,0,77.3,<0> (CND),6.97,<0> (CND),7.78,<0> (CND),-61,20.179,<0> (CND),1.6642,1.833,<0> (CND),0.93,<0> (CND),28.65,86.07,1.189,1.288,<0> (CND)
6/8/2017,11:30, ,0,SD1,0,5.7,59.32,0,1.6,6.43,0.28,0.3,1.42,-0.05,77,0,6.95,0,7.78,0,-60.8,20.111,0,1.625,1.7924,0,0.91,0,27.79,83.49,1.189,1.392,0
6/8/2017,11:45, ,0,SD1,0,5.8,61.41,0,1.53,6.14,0.23,0.25,1.35,-0.1,76.7,0,6.93,0,7.77,0,-60.1,20.014,0,1.6067,1.7759,0,0.9,0,27.42,82.39,1.188,1.498,0
6/8/2017,12:00, ,0,SD1,0,5.7,58.28,0,1.47,5.93,0.26,0.28,1.3,-0.07,77.2,0,6.97,0,7.76,0,-59.7,20.049,0,1.5769,1.7416,0,0.88,0,26.75,80.36,1.191,1.597,0
6/8/2017,12:15, ,0,SD1,0,5.7,75.15,0,1.51,6.06,0.29,0.3,1.33,-0.04,77.5,0,7,0,7.75,0,-59.1,20.081,0,1.5444,1.7045,0,0.86,0,26,78.11,1.188,1.692,0
6/8/2017,12:30, ,0,SD1,0,5.7,69.11,0,1.46,5.88,0.26,0.28,1.29,-0.07,78.1,0,7.04,0,7.74,0,-58.4,20.173,0,1.4929,1.6446,0,0.83,0,24.88,74.75,1.189,1.772,0
6/8/2017,12:45, ,0,SD1,0,5.7,78.13,0,1.44,5.78,0.24,0.26,1.26,-0.09,78.3,0,7.05,0,7.73,0,-58.1,20.209,0,1.4787,1.6276,0,0.82,0,24.5,73.61,1.186,1.846,0
6/8/2017,13:00, ,0,SD1,0,5.8,71.26,0,1.39,5.59,0.27,0.29,1.21,-0.06,79,0,7.1,0,7.72,0,-57.5,20.351,0,1.4255,1.5644,0,0.79,0,23.69,71.2,1.19,1.91,0
6/8/2017,13:15, ,0,SD1,0,5.7,66.53,0,1.42,5.7,0.24,0.26,1.24,-0.09,79.3,0,7.12,0,7.71,0,-57,20.415,0,1.3958,1.5298,0,0.77,0,23.3,70.03,1.186,1.969,0
6/8/2017,13:30, ,0,SD1,0,5.7,66.6,0,1.44,5.79,0.27,0.29,1.26,-0.06,79.6,0,7.14,0,7.71,0,-56.6,20.484,0,1.3721,1.5017,0,0.76,0,23,69.11,1.189,2.017,0
6/8/2017,13:45, ,0,SD1,0,5.7,68.04,0,1.44,5.8,0.23,0.24,1.26,-0.1,79.6,0,7.14,0,7.7,0,-56.2,20.49,0,1.3549,1.4826,0,0.75,0,22.76,68.41,1.184,2.055,0
6/8/2017,14:00, ,0,SD1,0,5.7,64.74,0,1.45,5.84,0.27,0.28,1.28,-0.06,80.3,0,7.18,0,7.7,0,-56,20.607,0,1.3129,1.4331,0,0.72,0,22.21,66.75,1.189,2.078,0
6/8/2017,14:15, ,0,SD1,0,5.7,62.63,0,1.41,5.69,0.25,0.27,1.24,-0.08,79.5,0,7.12,0,7.69,0,-55.8,20.571,0,1.3232,1.4455,0,0.73,0,22.5,67.62,1.185,2.088,0
6/8/2017,14:30, ,0,SD1,0,5.7,66.92,0,1.42,5.71,0.23,0.25,1.24,-0.1,78.8,0,7.06,0,7.69,0,-55.7,20.547,0,1.3323,1.4561,0,0.73,0,22.51,67.66,1.19,2.087,0
6/8/2017,14:45, ,0,SD1,0,5.7,65.11,0,1.42,5.69,0.27,0.28,1.24,-0.06,75.9,0,6.81,0,7.68,0,-54.9,20.5,0,1.3474,1.4741,0,0.74,0,22.17,66.64,1.186,2.075,0
6/8/2017,15:00, ,0,SD1,0,5.7,61.69,0,1.4,5.65,0.23,0.25,1.23,-0.1,77.3,0,6.93,0,7.69,0,-55.4,20.486,0,1.3572,1.4853,0,0.75,0,22.86,68.71,1.189,2.058,0
6/8/2017,15:15, ,0,SD1,0,5.7,68.64,0,1.44,5.8,0.26,0.28,1.27,-0.07,77,0,6.91,0,7.69,0,-55.6,20.462,0,1.3855,1.517,0,0.76,0,23.34,70.13,1.184,2.032,0
6/8/2017,15:30, ,0,SD1,0,5.7,61.99,0,1.45,5.84,0.25,0.27,1.28,-0.08,77.4,0,6.94,0,7.7,0,-56.1,20.449,0,1.4138,1.5484,0,0.78,0,24.01,72.16,1.19,1.997,0
6/8/2017,15:45, ,0,SD1,0,5.7,59.51,0,1.49,5.99,0.25,0.27,1.31,-0.08,76.5,0,6.87,0,7.7,0,-56.1,20.43,0,1.4379,1.5754,0,0.8,0,24.36,73.21,1.185,1.956,0
6/8/2017,16:00, ,0,SD1,0,5.7,64.3,0,1.49,5.98,0.23,0.25,1.31,-0.1,75.2,0,6.75,0,7.69,0,-55.9,20.443,0,1.4586,1.5976,0,0.81,0,24.48,73.57,1.189,1.907,0
6/8/2017,16:15, ,0,SD1,0,5.7,60.35,0,1.63,6.57,0.23,0.25,1.46,-0.1,75.4,0,6.75,0,7.71,0,-56.9,20.566,0,1.5111,1.6509,0,0.84,0,25.56,76.81,1.185,1.852,0
