Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,CablePwrV,Turb,F_Turb,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,SpCond,Sal,F_Sal,fDOMRFU,fDOMQSU,WiperPosV,Pressbara,Depth,F_Depth
9/14/2017,11:00, ,0,SD1,0,6.1,0,30.7,<0> (CND),1.16,4.63,0.19,0.18,80.3,<0> (CND),6.8,<0> (CND),7.61,<0> (CND),-55.7,22.194,<0> (CND),8535.7,4.76,<0> (CND),24.15,72.44,1.192,0.1938,1.969,<0> (CND)
9/14/2017,11:15, ,0,SD1,0,6.1,0,22.78,0,1.19,4.74,0.1,0.1,76.5,0,6.46,0,7.58,0,-54.4,22.389,0,8472.1,4.72,0,25.69,77.06,1.184,0.1904,1.935,0
9/14/2017,11:30, ,0,SD1,0,6.1,0,20.83,0,1.3,5.2,0.18,0.17,76.7,0,6.48,0,7.59,0,-55,22.377,0,8441,4.7,0,26.01,78.03,1.193,0.1863,1.893,0
9/14/2017,11:45, ,0,SD1,0,6.1,0,24.08,0,1.24,4.96,0.1,0.1,76.7,0,6.48,0,7.6,0,-55.6,22.385,0,8362.1,4.66,0,26.38,79.15,1.192,0.1821,1.85,0
9/14/2017,12:00, ,0,SD1,0,6.1,0,26.74,0,1.31,5.22,0.15,0.14,77.1,0,6.52,0,7.62,0,-56.8,22.373,0,8237.8,4.58,0,27.04,81.11,1.195,0.177,1.798,0
9/14/2017,12:15, ,0,SD1,0,6.1,0,27.76,0,1.25,4.99,0.15,0.14,76.8,0,6.49,0,7.63,0,-57.4,22.385,0,8181.8,4.55,0,27.19,81.57,1.194,0.1715,1.742,0
9/14/2017,12:30, ,0,SD1,0,6.1,0,27.67,0,1.41,5.62,0.12,0.12,77.9,0,6.57,0,7.65,0,-58.5,22.534,0,8114.4,4.51,0,27.51,82.54,1.195,0.1657,1.683,0
9/14/2017,12:45, ,0,SD1,0,6.1,0,28.95,0,1.35,5.37,0.15,0.15,78,0,6.56,0,7.66,0,-59.2,22.637,0,8050.2,4.47,0,27.66,82.98,1.18,0.16,1.625,0
9/14/2017,13:00, ,0,SD1,0,6.1,0,28.08,0,1.44,5.75,0.16,0.15,77.9,0,6.56,0,7.67,0,-59.4,22.635,0,7994.6,4.44,0,27.69,83.08,1.192,0.1536,1.56,0
9/14/2017,13:15, ,0,SD1,0,6.1,0,31.13,0,1.45,5.77,0.13,0.12,78.3,0,6.59,0,7.68,0,-60,22.68,0,7943.8,4.41,0,27.97,83.92,1.19,0.1477,1.5,0
