Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Temp,F_Temp,CondmS/cm,SpCond,F_SpCond,Sal,F_Sal,fDOMRFU,fDOMQSU,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Turb,F_Turb,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,pH,F_pH,pHmV,WiperPosV,Depth,F_Depth
8/2/2018,14:15, ,0,<site>,0,6.3,20.077,<0> (CND),9.271,10.2332,<0> (CND),5.8,<0> (CND),43.42,130.25,91.4,<0> (CND),8.02,<0> (CND),20.06,<0> (CND),1.09,4.32,0.26,0.3,0.99,-0.21,7.84,<0> (CND),-72.4,1.202,1.109,<0> (CND)
8/2/2018,14:30, ,0,<site>,0,6.3,20.267,0,9.515,10.4607,0,5.93,0,41.04,123.13,92,0,8.03,0,21.84,0,0.95,3.77,0.22,0.25,0.85,-0.26,7.84,0,-72.2,1.207,1.201,0
8/2/2018,14:45, ,0,<site>,0,6.3,20.326,0,9.6985,10.6493,0,6.05,0,38.21,114.62,91.4,0,7.97,0,27.49,0,0.92,3.67,0.25,0.29,0.82,-0.22,7.82,0,-71.3,1.201,1.295,0
8/2/2018,15:00, ,0,<site>,0,6.3,20.421,0,9.8354,10.7779,0,6.13,0,36.5,109.5,91.2,0,7.93,0,33.86,0,0.87,3.45,0.27,0.3,0.77,-0.21,7.81,0,-70.8,1.199,1.387,0
8/2/2018,15:15, ,0,<site>,0,6.3,20.528,0,10.007,10.9416,0,6.23,0,35.17,105.5,91.2,0,7.91,0,36.13,0,0.94,3.73,0.24,0.28,0.84,-0.23,7.8,0,-69.9,1.197,1.476,0
8/2/2018,15:30, ,0,<site>,0,6.3,20.536,0,10.178,11.1266,0,6.34,0,34.26,102.77,90.7,0,7.86,0,39.32,0,1.05,4.16,0.28,0.31,0.94,-0.2,7.77,0,-68.6,1.199,1.565,0
8/2/2018,15:45, ,0,<site>,0,6.3,20.589,0,10.2596,11.2034,0,6.39,0,33.55,100.64,90.6,0,7.84,0,35.8,0,1.04,4.15,0.27,0.31,0.94,-0.2,7.77,0,-68.5,1.201,1.645,0
8/2/2018,16:00, ,0,<site>,0,6.2,20.824,0,10.4451,11.3505,0,6.48,0,31.62,94.84,91.3,0,7.87,0,35.44,0,0.91,3.6,0.27,0.31,0.8,-0.2,7.78,0,-68.9,1.205,1.718,0
8/2/2018,16:15, ,0,<site>,0,6.3,20.991,0,10.6079,11.4874,0,6.56,0,29.88,89.63,91.9,0,7.89,0,35.72,0,0.88,3.48,0.26,0.3,0.78,-0.21,7.78,0,-69.1,1.195,1.785,0
8/2/2018,16:30, ,0,<site>,0,6.2,21.085,0,10.7,11.5647,0,6.61,0,29.25,87.73,92.1,0,7.88,0,53.17,0,0.86,3.43,0.26,0.29,0.76,-0.22,7.78,0,-69.2,1.189,1.841,0
8/2/2018,16:45, ,0,<site>,0,6.2,21.207,0,10.8233,11.6686,0,6.67,0,28.42,85.26,92.4,0,7.89,0,35.8,0,0.81,3.23,0.25,0.28,0.71,-0.23,7.78,0,-69.2,1.189,1.89,0
8/2/2018,17:00, ,0,<site>,0,6.2,21.271,0,10.9619,11.8026,0,6.75,0,27.1,81.28,92.1,0,7.86,0,36.43,0,0.81,3.2,0.18,0.21,0.7,-0.3,7.77,0,-68.8,1.192,1.938,0
8/2/2018,17:15, ,0,<site>,0,6.2,21.334,0,11.0681,11.9014,0,6.81,0,26.66,79.98,92.5,0,7.88,0,27.57,0,0.73,2.9,0.26,0.29,0.63,-0.22,7.77,0,-68.7,1.195,1.979,0
8/2/2018,17:30, ,0,<site>,0,6.2,21.377,0,11.1478,11.9766,0,6.86,0,26.5,79.5,92.1,0,7.83,0,21.74,0,0.72,2.85,0.23,0.26,0.62,-0.25,7.77,0,-68.4,1.195,2.007,0
8/2/2018,17:45, ,0,<site>,0,6.2,21.415,0,11.2086,12.0324,0,6.89,0,25.81,77.44,92.5,0,7.86,0,23.69,0,0.71,2.82,0.26,0.29,0.61,-0.22,7.77,0,-68.6,1.197,2.03,0
8/2/2018,18:00, ,0,<site>,0,6.2,21.455,0,11.2797,12.0988,0,6.93,0,26.07,78.21,92.6,0,7.86,0,18.02,0,0.7,2.79,0.25,0.29,0.6,-0.22,7.77,0,-68.7,1.197,2.048,0
8/2/2018,18:15, ,0,<site>,0,6.2,21.467,0,11.3098,12.128,0,6.95,0,26.43,79.28,92.1,0,7.81,0,16.16,0,0.66,2.61,0.23,0.26,0.56,-0.25,7.76,0,-68.1,1.2,2.059,0
8/2/2018,18:30, ,0,<site>,0,6.2,21.493,0,11.3735,12.1902,0,6.99,0,25.05,75.14,93.2,0,7.9,0,22.05,0,0.74,2.93,0.21,0.25,0.64,-0.26,7.78,0,-69,1.202,2.071,0
8/2/2018,18:45, ,0,<site>,0,6.2,21.473,0,11.3791,12.2011,0,7,0,25.1,75.31,89.6,0,7.6,0,23.21,0,0.67,2.66,0.24,0.27,0.57,-0.24,7.74,0,-67,1.204,2.07,0
8/2/2018,19:00, ,0,<site>,0,6.2,21.4,0,11.3105,12.1457,0,6.96,0,26.62,79.85,92.8,0,7.89,0,15.73,0,0.73,2.9,0.21,0.25,0.63,-0.26,7.78,0,-69,1.206,2.059,0
8/2/2018,19:15, ,0,<site>,0,6.2,21.353,0,11.2706,12.1145,0,6.94,0,26.62,79.85,90.9,0,7.73,0,17.11,0,0.72,2.86,0.19,0.22,0.62,-0.29,7.76,0,-67.7,1.196,2.044,0
8/2/2018,19:30, ,0,<site>,0,6.2,21.328,0,11.2552,12.104,0,6.94,0,27.02,81.05,90.8,0,7.73,0,14.77,0,0.69,2.75,0.2,0.23,0.59,-0.27,7.77,0,-68.7,1.19,2.029,0
8/2/2018,19:45, ,0,<site>,0,6.2,21.289,0,11.2139,12.0695,0,6.92,0,27.22,81.66,92,0,7.83,0,18.43,0,0.74,2.95,0.2,0.23,0.64,-0.28,7.78,0,-68.8,1.193,1.999,0
8/2/2018,20:00, ,0,<site>,0,6.2,21.098,0,10.9966,11.8821,0,6.8,0,29.39,88.17,91.3,0,7.8,0,15.89,0,0.78,3.08,0.22,0.25,0.67,-0.26,7.78,0,-68.9,1.198,1.955,0
8/2/2018,20:15, ,0,<site>,0,6.2,20.997,0,10.8273,11.7236,0,6.71,0,31.2,93.58,91,0,7.8,0,15.7,0,0.95,3.79,0.2,0.23,0.85,-0.28,7.78,0,-69.3,1.199,1.905,0
8/2/2018,20:30, ,0,<site>,0,6.2,20.889,0,10.5648,11.4651,0,6.55,0,33.9,101.71,91.1,0,7.83,0,16.98,0,1.17,4.67,0.24,0.27,1.07,-0.24,7.8,0,-70.5,1.202,1.847,0
8/2/2018,20:45, ,0,<site>,0,6.2,20.852,0,10.4675,11.3682,0,6.49,0,34.65,103.95,90.9,0,7.83,0,18.55,0,1.28,5.07,0.24,0.28,1.17,-0.23,7.81,0,-70.7,1.207,1.781,0
8/2/2018,21:00, ,0,<site>,0,6.2,20.783,0,10.3664,11.2745,0,6.43,0,35.78,107.34,90.9,0,7.84,0,16.08,0,1.33,5.28,0.24,0.27,1.22,-0.23,7.81,0,-71,1.198,1.71,0
8/2/2018,21:15, ,0,<site>,0,6.2,20.742,0,10.3186,11.232,0,6.4,0,36.06,108.16,90.4,0,7.8,0,16.45,0,1.31,5.2,0.28,0.32,1.21,-0.19,7.81,0,-70.6,1.189,1.633,0
8/2/2018,21:30, ,0,<site>,0,6.2,20.71,0,10.3417,11.2646,0,6.42,0,35.56,106.68,89.1,0,7.69,0,16.36,0,1.2,4.77,0.23,0.27,1.1,-0.24,7.79,0,-69.4,1.191,1.555,0
8/2/2018,21:45, ,0,<site>,0,6.2,20.624,0,10.2474,11.182,0,6.37,0,36.31,108.91,88.7,0,7.67,0,18.4,0,1.29,5.13,0.24,0.28,1.19,-0.23,7.8,0,-69.9,1.197,1.48,0
8/2/2018,22:00, ,0,<site>,0,6.2,20.521,0,10.0812,11.0244,0,6.28,0,37.12,111.36,88.8,0,7.7,0,17.69,0,1.42,5.65,0.23,0.27,1.32,-0.24,7.81,0,-70.5,1.201,1.402,0
8/2/2018,22:15, ,0,<site>,0,6.2,20.456,0,9.926,10.8692,0,6.18,0,36.52,109.57,88.9,0,7.73,0,18.37,0,1.72,6.84,0.3,0.34,1.62,-0.17,7.82,0,-71.4,1.205,1.336,0
8/2/2018,22:30, ,0,<site>,0,6.2,20.442,0,9.7816,10.7144,0,6.09,0,41.44,124.31,89.1,0,7.75,0,18.62,0,2.05,8.18,0.33,0.36,1.95,-0.15,7.83,0,-71.8,1.202,1.274,0
8/2/2018,22:45, ,0,<site>,0,6.2,20.44,0,9.6314,10.5503,0,5.99,0,43.54,130.63,89.7,0,7.8,0,21.3,0,2.79,11.15,0.41,0.44,2.69,-0.07,7.83,0,-72,1.194,1.214,0
8/2/2018,23:00, ,0,<site>,0,6.2,20.473,0,9.5211,10.4223,0,5.91,0,45.61,136.84,90.3,0,7.86,0,23.31,0,3.55,14.17,0.47,0.5,3.45,-0.01,7.84,0,-72.2,1.19,1.166,0
8/2/2018,23:15, ,0,<site>,0,6.2,20.499,0,9.4183,10.3042,0,5.84,0,47.56,142.66,90.8,0,7.9,0,23.42,0,4.64,18.51,0.57,0.6,4.53,0.09,7.83,0,-72,1.191,1.127,0
8/2/2018,23:30, ,0,<site>,0,6.2,20.514,0,9.3452,10.2209,0,5.79,0,46.32,138.95,90.4,0,7.87,0,23.97,0,4.81,19.21,0.58,0.62,4.71,0.11,7.83,0,-71.6,1.196,1.104,0
8/2/2018,23:45, ,0,<site>,0,6.2,20.503,0,9.3155,10.1908,0,5.77,0,49.03,147.08,89.6,0,7.79,0,24.75,0,4.92,19.64,0.61,0.64,4.81,0.14,7.82,0,-71.1,1.205,1.085,0
8/3/2018,0:00, ,0,<site>,0,6.2,20.49,0,9.2879,10.1633,0,5.75,0,40.56,121.66,86.6,0,7.54,0,24.18,0,4.92,19.65,0.6,0.63,4.82,0.12,7.79,0,-69.8,1.201,1.079,0
8/3/2018,0:15, ,0,<site>,0,6.2,20.456,0,9.2673,10.1482,0,5.74,0,50.56,151.68,83.6,0,7.29,0,23.19,0,5.06,20.19,0.6,0.64,4.95,0.13,7.77,0,-68.6,1.189,1.07,0
8/3/2018,0:30, ,0,<site>,0,6.2,20.429,0,9.2457,10.1302,0,5.73,0,51.31,153.91,86.1,0,7.5,0,19.3,0,5.47,21.85,0.64,0.68,5.37,0.17,7.79,0,-69.2,1.196,1.066,0
