Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,CablePwrV,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Turb,F_Turb,TSSmg/L,fDOMRFU,fDOMQSU,Temp,F_Temp,ConduScm,SpCond,F_SpCond,Sal,F_Sal,nLFCondæS/cm,TDSmg/L,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCæg/L,pH,F_pH,pHmV,Presspsia,Depth,F_Depth
8/30/2018,9:00, ,0,<site>,0,6.3,0,43.3,0,3.83,0,41.03,0,0,57.86,173.6,19.918,0,8464.9,9374.8,-5,5.28,0,9459.1,6094,4.14,16.58,0.65,0.66,7.43,0,-48.2,1.408,1.037,0
8/30/2018,9:15, ,0,<site>,0,6.3,0,38.5,0,3.39,0,38.01,0,0,60.41,181.26,19.994,0,8535.9,9438.3,-5,5.31,0,9522.1,6135,4.44,17.79,0.69,0.69,7.4,0,-46.8,1.36,1.003,0
8/30/2018,9:30, ,0,<site>,0,6.3,0,34.8,0,3.06,0,36.22,0,0,62.77,188.33,20.053,0,8595.2,9492.1,-5,5.35,0,9575.5,6170,4.82,19.3,0.75,0.76,7.38,0,-45.8,1.315,0.971,0
8/30/2018,9:45, ,0,<site>,0,6.3,0,31.7,0,2.79,0,33.89,0,0,64.59,193.79,20.083,0,8636.8,9532,-5,5.37,0,9615.3,6196,5.33,21.32,0.78,0.78,7.37,0,-45.1,1.28,0.947,0
8/30/2018,10:00, ,0,<site>,0,6.3,0,30,0,2.64,0,32.63,0,0,65.97,197.94,20.124,0,8661.8,9551.4,-5,5.38,0,9634.3,6208,5.43,21.75,0.74,0.74,7.37,0,-44.8,1.248,0.925,0
8/30/2018,10:15, ,0,<site>,0,6.3,0,28,0,2.46,0,32.18,0,0,66.68,200.08,20.148,0,8674.5,9560.6,-5,5.39,0,9643.1,6214,5.76,23.07,0.83,0.83,7.36,0,-44.3,1.22,0.905,0
8/30/2018,10:30, ,0,<site>,0,6.3,0,26.5,0,2.33,0,26.76,0,0,67.54,202.64,20.159,0,8672,9555.5,-5,5.38,0,9637.9,6211,6.09,24.39,0.9,0.9,7.35,0,-43.9,1.193,0.886,0
8/30/2018,10:45, ,0,<site>,0,6.3,0,25.7,0,2.26,0,25.86,0,0,67.98,203.96,20.203,0,8683.3,9559.2,-5,5.39,0,9641,6214,6.67,26.68,0.94,0.94,7.34,0,-43.5,1.167,0.867,0
8/30/2018,11:00, ,0,<site>,0,6.3,0,26.3,0,2.3,0,26.38,0,0,68.44,205.35,20.273,0,8705.2,9569.1,-5,5.39,0,9649.9,6220,7.07,28.32,0.97,0.97,7.34,0,-43.4,1.147,0.854,0
8/30/2018,11:15, ,0,<site>,0,6.3,0,26.5,0,2.32,0,26.19,0,0,68.96,206.89,20.326,0,8722.5,9577.5,-5,5.4,0,9657.5,6225,7.62,30.49,1.02,1.02,7.34,0,-43.2,1.141,0.849,0
8/30/2018,11:30, ,0,<site>,0,6.3,0,26.2,0,2.29,0,24.01,0,0,69.14,207.45,20.366,0,8736.1,9584.6,-5,5.4,0,9664,6230,8.39,33.58,1.1,1.1,7.33,0,-43,1.147,0.853,0
8/30/2018,11:45, ,0,<site>,0,6.3,0,22.4,0,1.96,0,24.62,0,0,69.93,209.8,20.35,0,8739.1,9591,-5,5.41,0,9670.7,6234,7.5,30.03,1.07,1.07,7.32,0,-42.3,1.173,0.872,0
8/30/2018,12:00, ,0,<site>,0,6.3,0,25.4,0,2.22,0,26.85,0,0,69.11,207.34,20.389,0,8747,9591.7,-5,5.41,0,9670.9,6235,8.43,33.73,1.07,1.08,7.33,0,-42.8,1.231,0.913,0
8/30/2018,12:15, ,0,<site>,0,6.3,0,50,0,4.36,0,22.03,0,0,62.47,187.44,20.596,0,8634.6,9427.6,-5,5.31,0,9502.3,6128,5.39,21.56,0.77,0.77,7.45,0,-49.5,1.312,0.969,0
8/30/2018,12:30, ,0,<site>,0,6.3,0,78.9,0,6.94,0,17.53,0,0,46.47,139.42,20.113,0,8273.1,9124.8,-5,5.12,0,9204.1,5931,1.54,6.18,0.25,0.26,7.74,0,-66.9,1.419,1.044,0
8/30/2018,12:45, ,0,<site>,0,6.3,0,79.8,0,7.02,0,17.41,0,0,45.88,137.67,20.174,0,8252.7,9090.7,-5,5.1,0,9168.9,5909,1.48,5.93,0.26,0.26,7.75,0,-67.4,1.536,1.127,0
8/30/2018,13:00, ,0,<site>,0,6.3,0,81.3,0,7.12,0,20.1,0,0,43.78,131.35,20.4,0,8272,9068.8,-5,5.09,0,9143.5,5895,1.49,5.98,0.25,0.25,7.75,0,-67.4,1.667,1.219,0
8/30/2018,13:15, ,0,<site>,0,6.3,0,80.7,0,7.09,0,21.58,0,0,42.15,126.47,20.262,0,8219.4,9037.2,-5,5.07,0,9113.6,5874,1.35,5.44,0.25,0.25,7.75,0,-67.1,1.811,1.32,0
