datetime,Depth,Turb,DO_mgl,DO_pct,Temp,SpCond,Sal,pH,Deployment,CondmS/cm,datetime_DLS,SiteName,ChlorophyllugL,fDOMQSU
2017-06-08T18:15:00Z,1.62,108,6.6,72.8,19.7,1.87,1,7.9,NA,NA,2017-06-08T19:15:00Z,FM,NA,NA
2017-06-08T18:30:00Z,1.73,117,6.9,76,19.8,1.82,0.9,7.9,NA,NA,2017-06-08T19:30:00Z,FM,NA,NA
2017-06-08T18:45:00Z,1.83,119,6.4,69.9,19.4,1.82,0.9,7.8,NA,NA,2017-06-08T19:45:00Z,FM,NA,NA
2017-06-08T19:00:00Z,1.93,115,6,65.3,19.3,1.79,0.9,7.6,NA,NA,2017-06-08T20:00:00Z,FM,NA,NA
2017-06-08T19:15:00Z,2.02,124,5.7,62.7,19.5,1.75,0.9,7.5,NA,NA,2017-06-08T20:15:00Z,FM,NA,NA
2017-06-08T19:30:00Z,2.1,129,5.6,61.8,19.7,1.6,0.8,7.5,NA,NA,2017-06-08T20:30:00Z,FM,NA,NA
2017-06-08T19:45:00Z,2.17,140,5.8,63.9,19.6,1.45,0.7,7.4,NA,NA,2017-06-08T20:45:00Z,FM,NA,NA
2017-06-08T20:00:00Z,2.24,141,5.7,62.8,19.7,1.32,0.7,7.4,NA,NA,2017-06-08T21:00:00Z,FM,NA,NA
2017-06-08T20:15:00Z,2.3,136,5.7,63.1,19.8,1.24,0.6,7.3,NA,NA,2017-06-08T21:15:00Z,FM,NA,NA
2017-06-08T20:30:00Z,2.35,139,5.5,60.2,19.8,1.2,0.6,7.3,NA,NA,2017-06-08T21:30:00Z,FM,NA,NA
2017-06-08T20:45:00Z,2.38,138,5.5,60.7,19.8,1.18,0.6,7.3,NA,NA,2017-06-08T21:45:00Z,FM,NA,NA
2017-06-08T21:00:00Z,2.39,124,5.3,58.7,19.8,1.16,0.6,7.3,NA,NA,2017-06-08T22:00:00Z,FM,NA,NA
2017-06-08T21:15:00Z,2.41,131,5.2,57.2,19.8,1.16,0.6,7.3,NA,NA,2017-06-08T22:15:00Z,FM,NA,NA
2017-06-08T21:30:00Z,2.41,133,4.9,53.5,19.8,1.16,0.6,7.3,NA,NA,2017-06-08T22:30:00Z,FM,NA,NA
2017-06-08T21:45:00Z,2.4,124,5.7,62.9,19.8,1.18,0.6,7.3,NA,NA,2017-06-08T22:45:00Z,FM,NA,NA
2017-06-08T22:00:00Z,2.38,127,5.7,62.7,19.8,1.2,0.6,7.3,NA,NA,2017-06-08T23:00:00Z,FM,NA,NA
2017-06-08T22:15:00Z,2.36,123,6,66.3,19.8,1.26,0.6,7.3,NA,NA,2017-06-08T23:15:00Z,FM,NA,NA
2017-06-08T22:30:00Z,2.32,124,5.8,64.1,19.8,1.37,0.7,7.3,NA,NA,2017-06-08T23:30:00Z,FM,NA,NA
2017-06-08T22:45:00Z,2.28,125,5.9,64.6,19.8,1.47,0.7,7.4,NA,NA,2017-06-08T23:45:00Z,FM,NA,NA
2017-06-08T23:00:00Z,2.24,121,5.8,63.7,19.8,1.55,0.8,7.4,NA,NA,2017-06-09T00:00:00Z,FM,NA,NA
2017-06-08T23:15:00Z,2.18,119,5.8,63.8,19.8,1.58,0.8,7.4,NA,NA,2017-06-09T00:15:00Z,FM,NA,NA
2017-06-08T23:30:00Z,2.13,120,5.9,64.9,19.9,1.63,0.8,7.5,NA,NA,2017-06-09T00:30:00Z,FM,NA,NA
2017-06-08T23:45:00Z,2.07,114,5.9,65,20,1.7,0.9,7.5,NA,NA,2017-06-09T00:45:00Z,FM,NA,NA
2017-06-09T00:00:00Z,2.01,114,5.9,65.7,20,1.76,0.9,7.6,NA,NA,2017-06-09T01:00:00Z,FM,NA,NA
2017-06-09T00:15:00Z,1.95,114,5.9,65.3,20,1.8,0.9,7.6,NA,NA,2017-06-09T01:15:00Z,FM,NA,NA
2017-06-09T00:30:00Z,1.89,113,6,65.9,20,1.82,0.9,7.6,NA,NA,2017-06-09T01:30:00Z,FM,NA,NA
2017-06-09T00:45:00Z,1.83,109,6.3,69.6,20.2,1.82,0.9,7.7,NA,NA,2017-06-09T01:45:00Z,FM,NA,NA
2017-06-09T01:00:00Z,1.78,106,6.3,69.4,20.2,1.84,0.9,7.7,NA,NA,2017-06-09T02:00:00Z,FM,NA,NA
2017-06-09T01:15:00Z,1.73,106,6.2,69.1,20.2,1.86,1,7.7,NA,NA,2017-06-09T02:15:00Z,FM,NA,NA
2017-06-09T01:30:00Z,1.69,99,6.2,68.5,20.2,1.88,1,7.7,NA,NA,2017-06-09T02:30:00Z,FM,NA,NA
2017-06-09T01:45:00Z,1.66,99,6.1,68,20.2,1.87,1,7.7,NA,NA,2017-06-09T02:45:00Z,FM,NA,NA
2017-06-09T02:00:00Z,1.64,97,6,66.6,20.2,1.9,1,7.7,NA,NA,2017-06-09T03:00:00Z,FM,NA,NA
2017-06-09T02:15:00Z,1.63,109,5.6,61.6,20.2,1.89,1,7.7,NA,NA,2017-06-09T03:15:00Z,FM,NA,NA
2017-06-09T02:30:00Z,1.63,117,4.8,52.8,20.2,1.89,1,7.7,NA,NA,2017-06-09T03:30:00Z,FM,NA,NA
2017-06-09T02:45:00Z,1.63,119,4.7,52.1,20.2,1.89,1,7.6,NA,NA,2017-06-09T03:45:00Z,FM,NA,NA
2017-06-09T03:00:00Z,1.65,117,4,44.6,20.1,1.78,0.9,7.6,NA,NA,2017-06-09T04:00:00Z,FM,NA,NA
