datetime,SiteName,Depth,Turb,DO_mgl,DO_pct,Temp,CondmS/cm,SpCond,Sal,pH,ChlorophyllugL,fDOMQSU,Deployment,datetime_DLS
2017-06-08T21:45:00Z,HL,2.08,48,6.6,72.9,20,1.74,1.93,1,7.8,7.37,82.17,2017-06-08,2017-06-08T22:45:00Z
2017-06-08T22:00:00Z,HL,2.06,47,6.6,72.5,20,1.74,1.93,1,7.8,7.33,83.36,2017-06-08,2017-06-08T23:00:00Z
2017-06-08T22:15:00Z,HL,2.03,61,6.5,72.2,20,1.75,1.94,1,7.8,7.15,83.43,2017-06-08,2017-06-08T23:15:00Z
2017-06-08T22:30:00Z,HL,2,49,6.5,72.1,20,1.75,1.93,1,7.8,7.94,83.89,2017-06-08,2017-06-08T23:30:00Z
2017-06-08T22:45:00Z,HL,1.95,47,6.5,72.1,20.1,1.76,1.95,1,7.8,7.53,84.62,2017-06-08,2017-06-08T23:45:00Z
2017-06-08T23:00:00Z,HL,1.9,48,6.4,71,20,1.77,1.96,1,7.8,7.48,84.88,2017-06-08,2017-06-09T00:00:00Z
2017-06-08T23:15:00Z,HL,1.85,50,6.4,70.9,20,1.77,1.96,1,7.8,7.38,84.54,2017-06-08,2017-06-09T00:15:00Z
2017-06-08T23:30:00Z,HL,1.79,49,6.4,70.7,20,1.78,1.97,1,7.8,7.03,85.01,2017-06-08,2017-06-09T00:30:00Z
2017-06-08T23:45:00Z,HL,1.73,49,6.4,70.6,20,1.79,1.98,1,7.8,7.47,85.37,2017-06-08,2017-06-09T00:45:00Z
2017-06-09T00:00:00Z,HL,1.67,51,6.3,70.4,20.1,1.8,1.99,1,7.8,7.01,85.66,2017-06-08,2017-06-09T01:00:00Z
2017-06-09T00:15:00Z,HL,1.6,49,6.3,70,20.1,1.81,2,1,7.8,7.15,85.96,2017-06-08,2017-06-09T01:15:00Z
2017-06-09T00:30:00Z,HL,1.54,42,6.3,69.7,20.1,1.82,2.01,1,7.8,8.27,87.95,2017-06-08,2017-06-09T01:30:00Z
2017-06-09T00:45:00Z,HL,1.48,47,6.2,69,20,1.84,2.03,1,7.8,7.65,89.19,2017-06-08,2017-06-09T01:45:00Z
2017-06-09T01:00:00Z,HL,1.43,45,6.2,68.5,20,1.86,2.05,1.1,7.8,7.89,91.15,2017-06-08,2017-06-09T02:00:00Z
2017-06-09T01:15:00Z,HL,1.37,43,6.1,67.9,20,1.87,2.07,1.1,7.8,8.32,92.78,2017-06-08,2017-06-09T02:15:00Z
2017-06-09T01:30:00Z,HL,1.33,37,6.1,67.3,20,1.89,2.09,1.1,7.8,8.36,94.05,2017-06-08,2017-06-09T02:30:00Z
2017-06-09T01:45:00Z,HL,1.29,36,6,66.5,20,1.91,2.11,1.1,7.8,8.62,95.97,2017-06-08,2017-06-09T02:45:00Z
2017-06-09T02:00:00Z,HL,1.26,38,6,66.2,20,1.94,2.15,1.1,7.8,9.28,98.58,2017-06-08,2017-06-09T03:00:00Z
2017-06-09T02:15:00Z,HL,1.24,38,6,65.9,20,1.95,2.16,1.1,7.8,9.44,98.62,2017-06-08,2017-06-09T03:15:00Z
2017-06-09T02:30:00Z,HL,1.23,36,5.9,65.5,19.9,1.97,2.18,1.1,7.8,9.08,100.89,2017-06-08,2017-06-09T03:30:00Z
2017-06-09T02:45:00Z,HL,1.24,35,5.9,65.1,19.9,1.98,2.19,1.1,7.8,9.06,101.93,2017-06-08,2017-06-09T03:45:00Z
2017-06-09T03:00:00Z,HL,1.25,31,5.9,65.1,19.9,2,2.21,1.1,7.8,7.06,104.24,2017-06-08,2017-06-09T04:00:00Z
2017-06-09T03:15:00Z,HL,1.27,32,5.9,65,19.9,1.98,2.2,1.1,7.8,8.08,102.09,2017-06-08,2017-06-09T04:15:00Z
2017-06-09T03:30:00Z,HL,1.31,34,5.9,65.6,19.9,1.97,2.18,1.1,7.8,7.94,101.91,2017-06-08,2017-06-09T04:30:00Z
2017-06-09T03:45:00Z,HL,1.36,33,5.9,65.4,19.9,1.97,2.18,1.1,7.8,7.6,102.04,2017-06-08,2017-06-09T04:45:00Z
2017-06-09T04:00:00Z,HL,1.41,34,6,65.8,19.9,1.94,2.14,1.1,7.8,7.41,100.34,2017-06-08,2017-06-09T05:00:00Z
2017-06-09T04:15:00Z,HL,1.47,39,6.1,67,19.9,1.9,2.11,1.1,7.8,7.42,96.27,2017-06-08,2017-06-09T05:15:00Z
2017-06-09T04:30:00Z,HL,1.53,41,6.1,67.6,19.9,1.88,2.08,1.1,7.8,7.12,94.14,2017-06-08,2017-06-09T05:30:00Z
