datetime,SiteName,Depth,Turb,DO_mgl,DO_pct,Temp,Sal,CondmS/cm,SpCond,pH,ChlorophyllugL,fDOMQSU,Deployment,datetime_DLS
2017-06-08T18:15:00Z,SD,1.29,56,7,77.3,20.2,0.9,1.66,1.83,7.8,7.14,86.07,2017-06-08,2017-06-08T19:15:00Z
2017-06-08T18:30:00Z,SD,1.39,59,7,77,20.1,0.9,1.62,1.79,7.8,6.43,83.49,2017-06-08,2017-06-08T19:30:00Z
2017-06-08T18:45:00Z,SD,1.5,61,6.9,76.7,20,0.9,1.61,1.78,7.8,6.14,82.39,2017-06-08,2017-06-08T19:45:00Z
2017-06-08T19:00:00Z,SD,1.6,58,7,77.2,20,0.9,1.58,1.74,7.8,5.93,80.36,2017-06-08,2017-06-08T20:00:00Z
2017-06-08T19:15:00Z,SD,1.69,75,7,77.5,20.1,0.9,1.54,1.7,7.8,6.06,78.11,2017-06-08,2017-06-08T20:15:00Z
2017-06-08T19:30:00Z,SD,1.77,69,7,78.1,20.2,0.8,1.49,1.64,7.7,5.88,74.75,2017-06-08,2017-06-08T20:30:00Z
2017-06-08T19:45:00Z,SD,1.85,78,7,78.3,20.2,0.8,1.48,1.63,7.7,5.78,73.61,2017-06-08,2017-06-08T20:45:00Z
2017-06-08T20:00:00Z,SD,1.91,71,7.1,79,20.4,0.8,1.43,1.56,7.7,5.59,71.2,2017-06-08,2017-06-08T21:00:00Z
2017-06-08T20:15:00Z,SD,1.97,67,7.1,79.3,20.4,0.8,1.4,1.53,7.7,5.7,70.03,2017-06-08,2017-06-08T21:15:00Z
2017-06-08T20:30:00Z,SD,2.02,67,7.1,79.6,20.5,0.8,1.37,1.5,7.7,5.79,69.11,2017-06-08,2017-06-08T21:30:00Z
2017-06-08T20:45:00Z,SD,2.06,68,7.1,79.6,20.5,0.8,1.35,1.48,7.7,5.8,68.41,2017-06-08,2017-06-08T21:45:00Z
2017-06-08T21:00:00Z,SD,2.08,65,7.2,80.3,20.6,0.7,1.31,1.43,7.7,5.84,66.75,2017-06-08,2017-06-08T22:00:00Z
2017-06-08T21:15:00Z,SD,2.09,63,7.1,79.5,20.6,0.7,1.32,1.45,7.7,5.69,67.62,2017-06-08,2017-06-08T22:15:00Z
2017-06-08T21:30:00Z,SD,2.09,67,7.1,78.8,20.5,0.7,1.33,1.46,7.7,5.71,67.66,2017-06-08,2017-06-08T22:30:00Z
2017-06-08T21:45:00Z,SD,2.08,65,6.8,75.9,20.5,0.7,1.35,1.47,7.7,5.69,66.64,2017-06-08,2017-06-08T22:45:00Z
2017-06-08T22:00:00Z,SD,2.06,62,6.9,77.3,20.5,0.8,1.36,1.49,7.7,5.65,68.71,2017-06-08,2017-06-08T23:00:00Z
2017-06-08T22:15:00Z,SD,2.03,69,6.9,77,20.5,0.8,1.39,1.52,7.7,5.8,70.13,2017-06-08,2017-06-08T23:15:00Z
2017-06-08T22:30:00Z,SD,2,62,6.9,77.4,20.4,0.8,1.41,1.55,7.7,5.84,72.16,2017-06-08,2017-06-08T23:30:00Z
2017-06-08T22:45:00Z,SD,1.96,60,6.9,76.5,20.4,0.8,1.44,1.58,7.7,5.99,73.21,2017-06-08,2017-06-08T23:45:00Z
2017-06-08T23:00:00Z,SD,1.91,64,6.8,75.2,20.4,0.8,1.46,1.6,7.7,5.98,73.57,2017-06-08,2017-06-09T00:00:00Z
2017-06-08T23:15:00Z,SD,1.85,60,6.8,75.4,20.6,0.8,1.51,1.65,7.7,6.57,76.81,2017-06-08,2017-06-09T00:15:00Z
2017-06-08T23:30:00Z,SD,1.79,60,6.8,76.7,20.7,0.8,1.53,1.66,7.7,6.79,77.76,2017-06-08,2017-06-09T00:30:00Z
2017-06-08T23:45:00Z,SD,1.73,58,6.9,77.4,20.8,0.8,1.54,1.68,7.7,6.84,78.41,2017-06-08,2017-06-09T00:45:00Z
2017-06-09T00:00:00Z,SD,1.67,57,6.8,76.5,20.7,0.9,1.55,1.69,7.7,7.08,78.59,2017-06-08,2017-06-09T01:00:00Z
2017-06-09T00:15:00Z,SD,1.61,60,6.7,75.1,20.6,0.9,1.57,1.72,7.7,7.39,79.34,2017-06-08,2017-06-09T01:15:00Z
2017-06-09T00:30:00Z,SD,1.55,60,6.6,73.8,20.6,0.9,1.6,1.74,7.7,7.6,79.46,2017-06-08,2017-06-09T01:30:00Z
2017-06-09T00:45:00Z,SD,1.49,62,6.5,72.5,20.6,0.9,1.61,1.76,7.7,8.58,79.51,2017-06-08,2017-06-09T01:45:00Z
2017-06-09T01:00:00Z,SD,1.44,63,6.4,71.8,20.6,0.9,1.63,1.78,7.7,9.11,80.23,2017-06-08,2017-06-09T02:00:00Z
2017-06-09T01:15:00Z,SD,1.39,60,6.4,71.6,20.7,0.9,1.65,1.8,7.7,9.45,81.52,2017-06-08,2017-06-09T02:15:00Z
2017-06-09T01:30:00Z,SD,1.35,65,6.4,71.6,20.7,0.9,1.68,1.83,7.7,10.96,82.32,2017-06-08,2017-06-09T02:30:00Z
2017-06-09T01:45:00Z,SD,1.32,66,6.3,71.1,20.7,0.9,1.68,1.83,7.7,11.47,82.63,2017-06-08,2017-06-09T02:45:00Z
2017-06-09T02:00:00Z,SD,1.29,106,6.3,71.1,20.7,0.9,1.7,1.85,7.7,11.72,83.72,2017-06-08,2017-06-09T03:00:00Z
2017-06-09T02:15:00Z,SD,1.28,64,6.3,70.4,20.7,1,1.71,1.86,7.7,13.33,84.32,2017-06-08,2017-06-09T03:15:00Z
2017-06-09T02:30:00Z,SD,1.27,67,6.2,69.6,20.7,1,1.71,1.86,7.7,10.6,84.33,2017-06-08,2017-06-09T03:30:00Z
2017-06-09T02:45:00Z,SD,1.28,67,6.1,68.9,20.7,1,1.71,1.87,7.7,10.65,84.17,2017-06-08,2017-06-09T03:45:00Z
2017-06-09T03:00:00Z,SD,1.3,69,6,67.9,20.7,1,1.7,1.86,7.7,11.8,83.95,2017-06-08,2017-06-09T04:00:00Z
2017-06-09T03:15:00Z,SD,1.32,59,6.3,70.6,20.4,0.9,1.67,1.83,7.7,8.91,86.25,2017-06-08,2017-06-09T04:15:00Z
2017-06-09T03:30:00Z,SD,1.36,55,6.6,73.3,20.1,0.9,1.65,1.82,7.7,6.82,87.87,2017-06-08,2017-06-09T04:30:00Z
2017-06-09T03:45:00Z,SD,1.4,55,6.7,74.1,20.1,0.9,1.64,1.81,7.8,6.54,88.42,2017-06-08,2017-06-09T04:45:00Z
2017-06-09T04:00:00Z,SD,1.46,58,6.8,75,20.1,0.9,1.61,1.78,7.8,6.39,86.91,2017-06-08,2017-06-09T05:00:00Z
2017-06-09T04:15:00Z,SD,1.52,67,6.8,75.2,20.1,0.9,1.6,1.76,7.7,6.16,84,2017-06-08,2017-06-09T05:15:00Z
2017-06-09T04:30:00Z,SD,1.58,60,6.9,76.1,20.1,0.9,1.54,1.7,7.7,5.88,82.15,2017-06-08,2017-06-09T05:30:00Z
2017-06-09T04:45:00Z,SD,1.65,62,6.9,76.3,20.2,0.8,1.53,1.68,7.7,5.77,81.34,2017-06-08,2017-06-09T05:45:00Z
2017-06-09T05:00:00Z,SD,1.72,59,6.9,76.7,20.2,0.8,1.49,1.64,7.7,5.73,79.24,2017-06-08,2017-06-09T06:00:00Z
2017-06-09T05:15:00Z,SD,1.8,62,7,77.3,20.2,0.8,1.45,1.59,7.7,5.61,75.93,2017-06-08,2017-06-09T06:15:00Z
2017-06-09T05:30:00Z,SD,1.87,65,7,77.7,20.3,0.8,1.42,1.56,7.7,5.6,74.2,2017-06-08,2017-06-09T06:30:00Z
2017-06-09T05:45:00Z,SD,1.94,66,7,77.7,20.3,0.8,1.4,1.54,7.7,5.49,72.47,2017-06-08,2017-06-09T06:45:00Z
2017-06-09T06:00:00Z,SD,2.01,61,7,77.9,20.3,0.8,1.38,1.51,7.7,5.6,70.72,2017-06-08,2017-06-09T07:00:00Z
2017-06-09T06:15:00Z,SD,2.08,83,7,78.3,20.4,0.7,1.34,1.47,7.7,5.48,68.72,2017-06-08,2017-06-09T07:15:00Z
2017-06-09T06:30:00Z,SD,2.14,69,7.1,78.5,20.4,0.7,1.31,1.43,7.7,5.32,66.71,2017-06-08,2017-06-09T07:30:00Z
2017-06-09T06:45:00Z,SD,2.19,74,7.1,78.9,20.4,0.7,1.27,1.39,7.7,5.2,64.75,2017-06-08,2017-06-09T07:45:00Z
2017-06-09T07:00:00Z,SD,2.24,78,7.1,78.8,20.4,0.7,1.25,1.37,7.7,5.31,63.88,2017-06-08,2017-06-09T08:00:00Z
2017-06-09T07:15:00Z,SD,2.27,69,7.1,78.8,20.4,0.7,1.23,1.35,7.7,5.34,63.04,2017-06-08,2017-06-09T08:15:00Z
2017-06-09T07:30:00Z,SD,2.3,68,7.1,78.7,20.4,0.7,1.23,1.34,7.7,5.38,63.17,2017-06-08,2017-06-09T08:30:00Z
2017-06-09T07:45:00Z,SD,2.33,63,7.1,78.9,20.4,0.6,1.19,1.3,7.6,5.59,61.67,2017-06-08,2017-06-09T08:45:00Z
2017-06-09T08:00:00Z,SD,2.34,62,7.1,78.9,20.4,0.7,1.19,1.31,7.6,5.28,62.44,2017-06-08,2017-06-09T09:00:00Z
2017-06-09T08:15:00Z,SD,2.36,60,7.1,78.9,20.4,0.6,1.18,1.29,7.6,5.42,61.71,2017-06-08,2017-06-09T09:15:00Z
2017-06-09T08:30:00Z,SD,2.36,63,7.1,78.6,20.4,0.6,1.17,1.29,7.6,4.98,61.69,2017-06-08,2017-06-09T09:30:00Z
2017-06-09T08:45:00Z,SD,2.35,65,6.9,77,20.3,0.7,1.2,1.32,7.6,5.45,62.72,2017-06-08,2017-06-09T09:45:00Z
2017-06-09T09:00:00Z,SD,2.34,66,6.8,75.5,20.3,0.7,1.23,1.35,7.6,5.6,62.6,2017-06-08,2017-06-09T10:00:00Z
2017-06-09T09:15:00Z,SD,2.31,71,6.7,74.8,20.3,0.7,1.24,1.36,7.6,5.46,63.71,2017-06-08,2017-06-09T10:15:00Z
2017-06-09T09:30:00Z,SD,2.28,62,6.9,76.3,20.3,0.7,1.25,1.38,7.6,5.56,65.37,2017-06-08,2017-06-09T10:30:00Z
2017-06-09T09:45:00Z,SD,2.24,62,6.8,75.8,20.3,0.7,1.28,1.4,7.6,5.59,66.61,2017-06-08,2017-06-09T10:45:00Z
2017-06-09T10:00:00Z,SD,2.19,62,6.7,74.7,20.2,0.7,1.3,1.43,7.6,5.61,67.41,2017-06-08,2017-06-09T11:00:00Z
2017-06-09T10:15:00Z,SD,2.13,59,6.7,74.5,20.1,0.7,1.34,1.48,7.6,5.64,69.86,2017-06-08,2017-06-09T11:15:00Z
2017-06-09T10:30:00Z,SD,2.06,64,6.6,72.9,20.1,0.8,1.38,1.52,7.6,5.72,70.59,2017-06-08,2017-06-09T11:30:00Z
2017-06-09T10:45:00Z,SD,1.98,69,6.6,73,20.1,0.8,1.38,1.53,7.7,5.88,70.71,2017-06-08,2017-06-09T11:45:00Z
2017-06-09T11:00:00Z,SD,1.89,68,6.6,72.6,20,0.8,1.41,1.55,7.7,6,71.34,2017-06-08,2017-06-09T12:00:00Z
2017-06-09T11:15:00Z,SD,1.8,69,6.4,71,19.9,0.8,1.45,1.61,7.7,6.28,72.88,2017-06-08,2017-06-09T12:15:00Z
2017-06-09T11:30:00Z,SD,1.71,84,6.3,69.1,19.9,0.8,1.48,1.65,7.7,6.69,73.63,2017-06-08,2017-06-09T12:30:00Z
2017-06-09T11:45:00Z,SD,1.62,75,6.1,66.8,19.9,0.9,1.52,1.69,7.7,7.35,74.27,2017-06-08,2017-06-09T12:45:00Z
2017-06-09T12:00:00Z,SD,1.53,74,5.9,65.3,19.8,0.9,1.55,1.72,7.6,7.96,75.05,2017-06-08,2017-06-09T13:00:00Z
2017-06-09T12:15:00Z,SD,1.44,73,5.8,64.4,19.8,0.9,1.57,1.74,7.6,8.35,76,2017-06-08,2017-06-09T13:15:00Z
2017-06-09T12:30:00Z,SD,1.35,69,5.7,62.8,19.7,0.9,1.61,1.79,7.6,9.43,78.72,2017-06-08,2017-06-09T13:30:00Z
2017-06-09T12:45:00Z,SD,1.27,82,5.5,61,19.7,0.9,1.65,1.83,7.6,10.06,80.63,2017-06-08,2017-06-09T13:45:00Z
2017-06-09T13:00:00Z,SD,1.2,67,5.4,59.7,19.7,1,1.69,1.88,7.6,13.47,82.73,2017-06-08,2017-06-09T14:00:00Z
2017-06-09T13:15:00Z,SD,1.14,76,5.3,58.3,19.7,1,1.75,1.95,7.6,15.62,86.81,2017-06-08,2017-06-09T14:15:00Z
2017-06-09T13:30:00Z,SD,1.07,74,5.2,57.2,19.7,1,1.83,2.03,7.6,21.83,91.5,2017-06-08,2017-06-09T14:30:00Z
2017-06-09T13:45:00Z,SD,1.01,85,5.2,57.2,19.7,1.1,1.88,2.09,7.6,21.1,95.35,2017-06-08,2017-06-09T14:45:00Z
2017-06-09T14:00:00Z,SD,0.95,78,5.2,57.3,19.7,1.1,1.91,2.12,7.6,23.85,96.94,2017-06-08,2017-06-09T15:00:00Z
2017-06-09T14:15:00Z,SD,0.9,80,5.2,57,19.7,1.1,1.93,2.15,7.6,25.35,98.59,2017-06-08,2017-06-09T15:15:00Z
2017-06-09T14:30:00Z,SD,0.85,72,5.2,56.8,19.7,1.1,1.96,2.18,7.6,36.36,100.02,2017-06-08,2017-06-09T15:30:00Z
2017-06-09T14:45:00Z,SD,0.79,81,5.2,56.8,19.7,1.1,2,2.22,7.6,37.82,102.7,2017-06-08,2017-06-09T15:45:00Z
2017-06-09T15:00:00Z,SD,0.75,77,5.1,56.6,19.7,1.2,2.02,2.25,7.6,31.68,105.62,2017-06-08,2017-06-09T16:00:00Z
2017-06-09T15:15:00Z,SD,0.7,75,5.1,56.6,19.7,1.2,2.05,2.28,7.6,45.02,109.26,2017-06-08,2017-06-09T16:15:00Z
2017-06-09T15:30:00Z,SD,0.66,71,5.2,57.3,19.7,1.2,2.07,2.31,7.6,57.18,111.47,2017-06-08,2017-06-09T16:30:00Z
2017-06-09T15:45:00Z,SD,0.62,64,5.3,58,19.8,1.2,2.09,2.32,7.6,46.98,113.1,2017-06-08,2017-06-09T16:45:00Z
2017-06-09T16:00:00Z,SD,0.6,87,5.3,58.1,19.8,1.2,2.09,2.32,7.5,57.24,114.55,2017-06-08,2017-06-09T17:00:00Z
2017-06-09T16:15:00Z,SD,0.58,68,5.3,58.8,19.8,1.2,2.1,2.33,7.5,74.64,115.47,2017-06-08,2017-06-09T17:15:00Z
2017-06-09T16:30:00Z,SD,0.57,71,5.4,59.4,19.9,1.2,2.12,2.35,7.5,71.42,115.78,2017-06-08,2017-06-09T17:30:00Z
2017-06-09T16:45:00Z,SD,0.57,67,5.6,61.9,20.1,1.2,2.14,2.36,7.5,57.33,116.81,2017-06-08,2017-06-09T17:45:00Z
2017-06-09T17:00:00Z,SD,0.61,64,6,66.2,20.2,1.2,2.15,2.36,7.5,69.99,118.06,2017-06-08,2017-06-09T18:00:00Z
2017-06-09T17:15:00Z,SD,0.66,62,6,67.2,20.2,1.2,2.15,2.36,7.6,64.94,119.51,2017-06-08,2017-06-09T18:15:00Z
2017-06-09T17:30:00Z,SD,0.73,62,6,67.2,20.4,1.2,2.16,2.36,7.5,59.2,120.83,2017-06-08,2017-06-09T18:30:00Z
2017-06-09T17:45:00Z,SD,0.82,61,6.1,67.8,20.4,1.2,2.15,2.36,7.5,54.59,119.74,2017-06-08,2017-06-09T18:45:00Z
2017-06-09T18:00:00Z,SD,0.91,88,6,66.7,20.1,1,1.78,1.97,7.7,8.98,85.36,2017-06-08,2017-06-09T19:00:00Z
2017-06-09T18:15:00Z,SD,1,64,6.2,68.8,20.1,1,1.75,1.93,7.7,7.38,88.95,2017-06-08,2017-06-09T19:15:00Z
2017-06-09T18:30:00Z,SD,1.1,79,6.2,69.1,20.1,1,1.73,1.91,7.7,6.83,83.53,2017-06-08,2017-06-09T19:30:00Z
2017-06-09T18:45:00Z,SD,1.2,78,6.3,70.6,20.2,0.9,1.68,1.85,7.7,6.71,79.6,2017-06-08,2017-06-09T19:45:00Z
2017-06-09T19:00:00Z,SD,1.3,80,6.4,70.8,20.2,0.9,1.66,1.83,7.7,6.56,79.41,2017-06-08,2017-06-09T20:00:00Z
2017-06-09T19:15:00Z,SD,1.4,83,6.4,71.3,20.2,0.9,1.65,1.82,7.7,6.68,78.27,2017-06-08,2017-06-09T20:15:00Z
2017-06-09T19:30:00Z,SD,1.5,74,6.5,71.8,20.3,0.9,1.62,1.78,7.7,6.34,76.44,2017-06-08,2017-06-09T20:30:00Z
2017-06-09T19:45:00Z,SD,1.6,90,6.5,72.6,20.3,0.9,1.59,1.74,7.7,6.19,74.2,2017-06-08,2017-06-09T20:45:00Z
2017-06-09T20:00:00Z,SD,1.68,90,6.6,73.5,20.4,0.9,1.54,1.69,7.7,6.17,71.06,2017-06-08,2017-06-09T21:00:00Z
2017-06-09T20:15:00Z,SD,1.76,89,6.7,74.3,20.5,0.8,1.5,1.65,7.7,5.9,69.06,2017-06-08,2017-06-09T21:15:00Z
2017-06-09T20:30:00Z,SD,1.84,84,6.7,75.1,20.5,0.8,1.47,1.61,7.7,6.23,68.53,2017-06-08,2017-06-09T21:30:00Z
2017-06-09T20:45:00Z,SD,1.9,83,6.8,75.8,20.6,0.8,1.43,1.57,7.7,5.73,67.22,2017-06-08,2017-06-09T21:45:00Z
2017-06-09T21:00:00Z,SD,1.95,81,6.8,76.5,20.7,0.8,1.41,1.53,7.7,5.62,66.77,2017-06-08,2017-06-09T22:00:00Z
2017-06-09T21:15:00Z,SD,1.99,80,6.8,76.7,20.7,0.8,1.39,1.52,7.7,5.72,66.53,2017-06-08,2017-06-09T22:15:00Z
2017-06-09T21:30:00Z,SD,2.02,70,6.9,77.2,20.7,0.8,1.36,1.48,7.7,5.83,65.8,2017-06-08,2017-06-09T22:30:00Z
2017-06-09T21:45:00Z,SD,2.04,75,6.9,76.9,20.7,0.7,1.35,1.47,7.7,5.86,65.26,2017-06-08,2017-06-09T22:45:00Z
2017-06-09T22:00:00Z,SD,2.06,77,6.9,77.1,20.7,0.7,1.33,1.45,7.7,5.93,65.01,2017-06-08,2017-06-09T23:00:00Z
2017-06-09T22:15:00Z,SD,2.06,74,6.9,77.1,20.8,0.7,1.32,1.44,7.7,5.92,64.6,2017-06-08,2017-06-09T23:15:00Z
2017-06-09T22:30:00Z,SD,2.06,76,6.8,76.1,20.7,0.7,1.34,1.46,7.7,5.41,64.8,2017-06-08,2017-06-09T23:30:00Z
2017-06-09T22:45:00Z,SD,2.04,74,6.8,75.9,20.7,0.7,1.36,1.48,7.7,5.8,65.96,2017-06-08,2017-06-09T23:45:00Z
2017-06-09T23:00:00Z,SD,2.02,77,6.5,72.8,20.7,0.8,1.37,1.49,7.6,5.7,65.21,2017-06-08,2017-06-10T00:00:00Z
2017-06-09T23:15:00Z,SD,1.99,72,6.6,73.9,20.8,0.8,1.38,1.5,7.7,5.96,66.44,2017-06-08,2017-06-10T00:15:00Z
2017-06-09T23:30:00Z,SD,1.96,74,6.8,76.5,21,0.8,1.42,1.53,7.7,6.41,68.46,2017-06-08,2017-06-10T00:30:00Z
2017-06-09T23:45:00Z,SD,1.92,71,6.8,76.4,21,0.8,1.44,1.56,7.7,5.99,69.49,2017-06-08,2017-06-10T00:45:00Z
2017-06-10T00:00:00Z,SD,1.86,68,6.8,76.4,21.1,0.8,1.51,1.64,7.7,6.89,72.97,2017-06-08,2017-06-10T01:00:00Z
2017-06-10T00:15:00Z,SD,1.81,72,6.8,76.7,21.1,0.8,1.56,1.68,7.7,7.67,74.94,2017-06-08,2017-06-10T01:15:00Z
2017-06-10T00:30:00Z,SD,1.75,63,6.8,76.6,21.1,0.9,1.58,1.7,7.7,7.65,75.7,2017-06-08,2017-06-10T01:30:00Z
2017-06-10T00:45:00Z,SD,1.69,68,6.7,76.1,21.1,0.9,1.59,1.72,7.7,8.28,76,2017-06-08,2017-06-10T01:45:00Z
2017-06-10T01:00:00Z,SD,1.63,84,6.7,75.2,21,0.9,1.58,1.71,7.7,7.74,75.51,2017-06-08,2017-06-10T02:00:00Z
2017-06-10T01:15:00Z,SD,1.58,68,6.5,73.7,20.9,0.9,1.59,1.72,7.7,7.59,76.05,2017-06-08,2017-06-10T02:15:00Z
2017-06-10T01:30:00Z,SD,1.53,72,6.4,71.8,20.8,0.9,1.6,1.74,7.7,7.86,76.69,2017-06-08,2017-06-10T02:30:00Z
2017-06-10T01:45:00Z,SD,1.47,73,6.3,70.9,20.8,0.9,1.64,1.78,7.7,8.22,78.4,2017-06-08,2017-06-10T02:45:00Z
2017-06-10T02:00:00Z,SD,1.42,74,6.3,70.4,20.8,0.9,1.65,1.8,7.7,8.79,78.89,2017-06-08,2017-06-10T03:00:00Z
2017-06-10T02:15:00Z,SD,1.38,73,6.2,69.9,20.8,0.9,1.67,1.81,7.7,9.73,79.33,2017-06-08,2017-06-10T03:15:00Z
2017-06-10T02:30:00Z,SD,1.36,77,6.2,70,20.8,0.9,1.67,1.82,7.7,10.47,80.53,2017-06-08,2017-06-10T03:30:00Z
2017-06-10T02:45:00Z,SD,1.34,70,6.2,69.3,20.8,0.9,1.68,1.82,7.7,10.39,80.25,2017-06-08,2017-06-10T03:45:00Z
2017-06-10T03:00:00Z,SD,1.33,70,6.2,69,20.7,0.9,1.68,1.83,7.7,10.33,81.47,2017-06-08,2017-06-10T04:00:00Z
2017-06-10T03:15:00Z,SD,1.34,67,6.1,68.4,20.7,0.9,1.68,1.83,7.7,9.89,81.54,2017-06-08,2017-06-10T04:15:00Z
2017-06-10T03:30:00Z,SD,1.35,71,6.1,68.4,20.6,0.9,1.67,1.83,7.7,8.85,81.82,2017-06-08,2017-06-10T04:30:00Z
2017-06-10T03:45:00Z,SD,1.38,68,6.2,69.3,20.4,0.9,1.63,1.79,7.7,7.47,81.86,2017-06-08,2017-06-10T04:45:00Z
2017-06-10T04:00:00Z,SD,1.42,64,6.6,73.2,20.4,0.9,1.62,1.78,7.7,6.22,81.54,2017-06-08,2017-06-10T05:00:00Z
